COMISION NACIONAL DE HIDROCARBUROS
PRODUCCION REPORTADA AL FMP POR CONTRATO
FECHA DE DESCARGA: 1/4/2026 - 11:36:57 P.M.


,,
NACIONAL
  NACIONAL,2016/MAY,2016/JUN,2016/JUL,2016/AGO,2016/SEP,2016/OCT,2016/NOV,2016/DIC,2017/ENE,2017/FEB,2017/MAR,2017/ABR,2017/MAY,2017/JUN,2017/JUL,2017/AGO,2017/SEP,2017/OCT,2017/NOV,2017/DIC,2018/ENE,2018/FEB,2018/MAR,2018/ABR,2018/MAY,2018/JUN,2018/JUL,2018/AGO,2018/SEP,2018/OCT,2018/NOV,2018/DIC,2019/ENE,2019/FEB,2019/MAR,2019/ABR,2019/MAY,2019/JUN,2019/JUL,2019/AGO,2019/SEP,2019/OCT,2019/NOV,2019/DIC,2020/ENE,2020/FEB,2020/MAR,2020/ABR,2020/MAY,2020/JUN,2020/JUL,2020/AGO,2020/SEP,2020/OCT,2020/NOV,2020/DIC,2021/ENE,2021/FEB,2021/MAR,2021/ABR,2021/MAY,2021/JUN,2021/JUL,2021/AGO,2021/SEP,2021/OCT,2021/NOV,2021/DIC,2022/ENE,2022/FEB,2022/MAR,2022/ABR,2022/MAY,2022/JUN,2022/JUL,2022/AGO,2022/SEP,2022/OCT,2022/NOV,2022/DIC,2023/ENE,2023/FEB,2023/MAR,2023/ABR,2023/MAY,2023/JUN,2023/JUL,2023/AGO,2023/SEP,2023/OCT,2023/NOV,2023/DIC,2024/ENE,2024/FEB,2024/MAR,2024/ABR,2024/MAY,2024/JUN,2024/JUL,2024/AGO,2024/SEP,2024/OCT,2024/NOV,2024/DIC,2025/ENE
     HIDROCARBUROS LIQUIDOS (MBD),1.444,1.822,1.601,1.493,1.396,1.426,1.38,1.343,1.238,1.312,1.428,1.588,32.718,35.6,36.301,36.772,36.487,29.759,31.157,39.112,43.465,43.571,53.426,51.506,53.487,56.095,53.174,63.547,69.524,69.21,68.815,69.441,70.923,75.133,75.995,77.599,74.263,72.605,87.058,93.061,95.744,95.231,99.699,104.107,110.791,108.031,108.003,119.903,125.24,129.073,126.632,124.374,118.954,113.537,116.195,119.947,116.852,117.056,130.311,135.918,142.807,146.342,137.347,133.228,138.213,137.601,150.153,157.672,170.196,161.492,153.035,175.36,182.719,194.45,167.043,180.027,198.938,177.129,201.411,191.698,191.444,213.96,191.646,209.163,209.653,206.23,199.602,191.894,213.027,205.568,186.848,203.569,180.481,178.154,177.849,169.899,189.449,166.069,185.039,183.553,185.965,196.743,168.99,188.941,162.655
          RONDAS,1.444,1.822,1.601,1.493,1.396,1.426,1.38,1.343,1.238,1.312,1.428,1.588,1.578,1.715,2.443,2.025,1.85,1.85,1.916,3.603,2.634,2.802,3.105,3.201,3.352,4.039,4.331,4.831,4.855,4.573,4.11,4.234,3.96,3.821,4.333,5.078,3.983,4.671,10.879,13.319,14.483,14.612,17.234,17.275,16.113,15.861,16.964,20.205,22.16,24.488,22.939,24.47,23.408,22.198,21.352,22.172,19.708,20.432,23.33,24.94,29.273,32.027,27.361,27.579,30.878,32.055,37.422,40.379,53.12,51.08,44.464,64.026,68.704,79.397,51.955,68.381,87.173,60.826,78.283,64.13,61.748,78.624,56.479,75.239,74.724,72.07,71.456,55.15,76.935,70.806,54.844,71.872,53.554,54.12,57.297,51.957,69.54,51.856,71.646,70.962,75.338,87.987,68.318,93.717,67.261
          ASOCIACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.936,11.035,11.901,11.811,9.486,11.033,10.175,9.617,9.46,10.022,10.763,9.77,10.523,10.488,11.118,10.751,10.226,10.521,10.901,11.417,11.384,11.417,13.328,12.481,12.771,12.698,11.816,12.849,12.643,12.431,12.79,12.542,11.523,10.615,10.582,10.727,10.729,10.178,9.709,10.335,9.994,9.978,10.604,10.605,10.435,10.099,10.895,10.636,10.553,10.666,10.322,10.666,10.322,10.49,10.666,9.952,10.021,10.19,9.707,9.529,10.239,10.35,10.09,10.093,8.925,10.314,9.845,10.426,9.958,10.214,9.515,9.945,9.184,9.108,8.566,9.07,8.913,8.731,8.865,8.742,7.564,6.45,6.823
          MIGRACIONES,0,0,0,0,0,0,0,0,0,0,0,0,31.14,33.885,33.858,34.747,34.637,27.909,29.241,35.509,40.83,40.768,40.385,37.27,38.233,40.244,39.356,47.683,54.495,55.02,55.245,55.184,56.2,61.541,61.139,62.033,59.163,57.183,65.953,69.221,70.361,69.202,71.081,75.415,81.35,79.69,78.268,87,91.264,91.736,91.049,87.473,82.756,78.797,83.32,87.16,86.563,85.897,96.253,100.8,103.824,103.98,99.992,95.671,96.731,94.941,102.296,107.195,106.181,99.776,98.019,100.668,103.693,104.387,104.766,101.156,101.099,106.351,113.107,117.378,119.99,125.807,124.928,123.573,124.839,124.067,119.222,126.43,126.246,124.335,122.046,121.484,117.413,114.089,111.368,108.834,111.343,105.143,104.48,103.861,101.763,100.013,93.108,88.775,88.572
     PETROLEO (MBD),1.419,1.791,1.569,1.474,1.372,1.402,1.36,1.315,1.206,1.284,1.397,1.555,32.688,35.474,36.171,36.652,36.387,28.636,31.13,38.692,43.431,43.535,53.235,51.298,50.946,54.159,51.094,61.064,66.351,66.763,68.245,68.743,70.202,74.427,75.235,76.96,73.397,71.541,85.817,91.875,94.55,93.972,98.409,102.894,109.503,106.814,106.851,118.925,124.377,128.258,125.911,123.653,118.27,112.869,115.55,119.238,116.166,116.486,129.696,135.362,142.383,145.844,136.9,132.797,137.751,137.093,149.653,157.209,169.648,160.913,152.447,174.351,181.068,193.747,166.256,179.036,197.554,176.029,200.248,190.746,190.299,213.084,190.564,208.208,208.442,205.194,198.418,191.04,211.819,204.589,185.89,202.483,179.405,177.096,176.919,169.029,188.603,165.15,184.189,182.732,185.125,195.937,168.351,188.334,162.357
          RONDAS,1.419,1.791,1.569,1.474,1.372,1.402,1.36,1.315,1.206,1.284,1.397,1.555,1.548,1.685,2.419,2.003,1.826,1.826,1.889,3.303,2.601,2.766,3.069,3.172,3.042,3.756,3.873,4.153,4.136,4.14,3.935,4.029,3.743,3.593,4.075,4.83,3.641,4.217,10.358,12.853,14.067,14.209,16.778,16.848,15.743,15.538,16.655,20.025,21.977,24.317,22.781,24.304,23.239,22.047,21.202,21.994,19.527,20.255,23.18,24.796,29.151,31.908,27.253,27.494,30.773,31.953,37.298,40.256,53.007,50.957,44.369,63.37,67.465,79.025,51.469,67.749,86.059,59.95,77.575,63.474,60.902,77.916,55.807,74.519,73.793,71.189,70.483,54.502,75.908,70.084,54.169,71.021,52.727,53.292,56.606,51.28,68.88,51.069,70.981,70.252,74.644,87.357,67.847,93.189,66.979
          ASOCIACIONES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.936,11.035,11.057,11.103,8.937,10.293,9.678,9.175,9.46,10.022,10.763,9.77,10.523,10.488,11.118,10.751,10.226,10.521,10.901,11.417,11.384,11.417,13.328,12.481,12.771,12.698,11.816,12.849,12.643,12.431,12.79,12.542,11.523,10.615,10.582,10.727,10.729,10.178,9.709,10.335,9.994,9.978,10.604,10.605,10.435,10.099,10.895,10.636,10.553,10.666,10.322,10.666,10.322,10.49,10.666,9.952,10.021,10.19,9.707,9.529,10.239,10.35,10.09,10.093,8.925,10.314,9.845,10.426,9.958,10.214,9.515,9.945,9.184,9.108,8.566,9.07,8.913,8.731,8.865,8.742,7.564,6.45,6.823
          MIGRACIONES,0,0,0,0,0,0,0,0,0,0,0,0,31.14,33.79,33.752,34.649,34.56,26.81,29.241,35.389,40.83,40.768,40.23,37.091,36.847,39.3,38.284,46.618,52.536,53.448,54.851,54.692,55.696,61.063,60.637,61.642,58.639,56.574,65.232,68.502,69.582,68.347,70.247,74.63,80.432,78.795,77.425,86.202,90.584,91.091,90.487,86.917,82.242,78.28,82.825,86.629,86.057,85.504,95.787,100.389,103.523,103.601,99.653,95.326,96.374,94.535,101.92,106.855,105.746,99.32,97.525,100.315,103.281,104.056,104.464,100.797,100.828,106.127,112.651,117.082,119.69,125.64,124.517,123.339,124.559,123.913,119.01,126.224,126.066,124.079,121.762,121.248,117.164,113.859,111.13,108.641,111.157,105.012,104.295,103.749,101.616,99.837,92.94,88.695,88.556
     CONDENSADO (MBD),0.025,0.032,0.032,0.02,0.024,0.023,0.02,0.028,0.032,0.028,0.031,0.033,0.03,0.126,0.131,0.12,0.1,1.123,0.027,0.42,0.033,0.036,0.191,0.208,2.541,1.936,2.079,2.483,3.173,2.448,0.569,0.698,0.721,0.706,0.76,0.639,0.866,1.063,1.241,1.186,1.194,1.259,1.29,1.213,1.289,1.217,1.152,0.978,0.863,0.816,0.72,0.721,0.684,0.668,0.644,0.709,0.687,0.57,0.616,0.555,0.424,0.497,0.447,0.43,0.462,0.508,0.5,0.463,0.548,0.579,0.589,1.009,1.651,0.703,0.787,0.991,1.385,1.1,1.163,0.952,1.145,0.875,1.082,0.955,1.212,1.036,1.184,0.854,1.209,0.979,0.958,1.087,1.076,1.058,0.929,0.871,0.846,0.919,0.85,0.822,0.84,0.806,0.639,0.607,0.298
          RONDAS,0.025,0.032,0.032,0.02,0.024,0.023,0.02,0.028,0.032,0.028,0.031,0.033,0.03,0.03,0.025,0.022,0.024,0.025,0.027,0.3,0.033,0.036,0.036,0.029,0.311,0.283,0.459,0.678,0.718,0.433,0.176,0.205,0.217,0.228,0.258,0.248,0.342,0.454,0.52,0.467,0.416,0.404,0.456,0.427,0.37,0.322,0.309,0.18,0.183,0.171,0.158,0.165,0.169,0.15,0.149,0.178,0.181,0.177,0.15,0.144,0.123,0.119,0.108,0.085,0.105,0.102,0.124,0.123,0.113,0.123,0.095,0.657,1.239,0.372,0.485,0.633,1.114,0.876,0.708,0.656,0.846,0.708,0.671,0.721,0.931,0.882,0.972,0.648,1.028,0.722,0.675,0.85,0.827,0.828,0.691,0.677,0.66,0.788,0.664,0.71,0.693,0.63,0.471,0.528,0.283
