COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR CONTRATO,,,,,,,,,,
Producción mensual por contrato y operador,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
Para información geográfica de los contratos visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,
,,,,,,,,,,
FECHA,CONTRATO,OPERADOR,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
05/2016,CNH-R01-L03-A1/2015,DIAVAZ OFFSHORE,0.1945949,0.1945949,0.0,0.103652914,0.103652914,0.0,0.001172,0.367188842
05/2016,CNH-R01-L03-A11/2015,RENAISSANCE OIL CORP,0.195217561,0.195217561,0.0,1.853061656,1.853061656,0.0,0.059131,0.964429323
05/2016,CNH-R01-L03-A12/2015,GRUPO MAREÓGRAFO,0.0,0.0,0.0,2.158755686,0.0,2.158755686,0.003022,0.002257385
05/2016,CNH-R01-L03-A14/2015,CANAMEX ENERGY HOLDINGS,0.343791788,0.343791788,0.0,0.21563144,0.21563144,0.0,0.0,0.297852464
05/2016,CNH-R01-L03-A15/2015,RENAISSANCE OIL CORP,0.155559007,0.155559007,0.0,1.883241083,1.883241083,0.0,0.0,0.896057605
05/2016,CNH-R01-L03-A18/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,2.854637163,0.0,2.854637163,0.025977,0.012498548
05/2016,CNH-R01-L03-A2/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,8.295950717,0.0,8.295950717,0.028258,0.029088067
05/2016,CNH-R01-L03-A25/2015,RENAISSANCE OIL CORP,0.172679026,0.172679026,0.0,0.343080616,0.343080616,0.0,0.007115,0.023987178
05/2016,CNH-R01-L03-A3/2015,CMM CALIBRADOR,0.0,0.0,0.0,3.441030149,0.0,3.441030149,0.005161,0.007969471
05/2016,CNH-R01-L03-A5/2015,CONSORCIO PETROLERO 5M DEL GOLFO,0.0,0.0,0.0,1.691288712,0.0,1.691288712,0.004566,0.015594842
