COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,
PRODUCCION POR UBICACIÓN,,,,,,,,,,
Datos de producción mensual cuenca y ubicación.,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,
La serie de nitrógeno se comienza a reportar a partir de 2016.,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,
,,,,,,,,,,
FECHA,CUENCA,UBICACION,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOCIADO_MMPCD,GAS_NO_ASOCIADO_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2025,Burgos,Terrestre,0.788828865,0.0,0.788828865,274.380796336,0.0,274.380796336,0.903045,7.154837739
12/2024,Burgos,Terrestre,0.865243953,0.0,0.865243953,309.743420507,0.0,309.743420507,1.084109,7.864587568
11/2024,Burgos,Terrestre,0.901629971,0.0,0.901629971,350.575684569,0.0,350.575684569,1.238856,9.265037363
10/2024,Burgos,Terrestre,1.05596802,0.0,1.05596802,373.139608692,0.0,373.139608692,1.317417,9.00822304
09/2024,Burgos,Terrestre,0.877244406,0.0,0.877244406,376.581127872,0.0,376.581127872,1.261424,8.527949575
08/2024,Burgos,Terrestre,0.928387575,0.0,0.928387575,397.413565413,0.0,397.413565413,1.431715,8.190441913
07/2024,Burgos,Terrestre,0.946113166,0.0,0.946113166,412.736192794,0.0,412.736192794,1.338604,7.976476426
06/2024,Burgos,Terrestre,0.949768268,0.0,0.949768268,431.870018009,0.0,431.870018009,1.51096,7.720768368
05/2024,Burgos,Terrestre,1.093681482,0.0,1.093681482,440.041063718,0.0,440.041063718,1.655361,8.28173488
04/2024,Burgos,Terrestre,1.128346188,0.0,1.128346188,450.858548019,0.0,450.858548019,1.729152,8.609011403
03/2024,Burgos,Terrestre,1.1847986,0.0,1.1847986,458.184951482,0.0,458.184951482,1.574749,8.135419334
02/2024,Burgos,Terrestre,1.278390897,0.0,1.278390897,465.176651832,0.0,465.176651832,1.914255,8.482834533
01/2024,Burgos,Terrestre,1.425227801,0.0,1.425227801,476.838691239,0.0,476.838691239,1.547155,8.617151205
12/2023,Burgos,Terrestre,1.434547745,0.0,1.434547745,465.85223601,0.0,465.85223601,1.432096,8.918897876
11/2023,Burgos,Terrestre,1.435445515,0.0,1.435445515,473.8324666,0.0,473.8324666,1.339148,8.940485217
10/2023,Burgos,Terrestre,1.269039916,0.0,1.269039916,468.256078608,0.0,468.256078608,1.448765,8.675978875
09/2023,Burgos,Terrestre,1.327354687,0.0,1.327354687,470.464416007,0.0,470.464416007,1.506191,8.950578592
08/2023,Burgos,Terrestre,1.403219128,0.0,1.403219128,480.276008461,0.0,480.276008461,1.646705,9.054078768
07/2023,Burgos,Terrestre,1.436074076,0.0,1.436074076,483.930242966,0.0,483.930242966,1.712869,9.292472873
06/2023,Burgos,Terrestre,1.543621124,0.0,1.543621124,483.817948528,0.0,483.817948528,1.820802,10.099551622
05/2023,Burgos,Terrestre,1.550270581,0.0,1.550270581,487.330950449,0.0,487.330950449,1.686788,9.879827733
04/2023,Burgos,Terrestre,1.816753279,0.0,1.816753279,494.25540193,0.0,494.25540193,1.789424,9.787232716
03/2023,Burgos,Terrestre,1.953274754,0.0,1.953274754,496.814887962,0.0,496.814887962,1.707202,10.15450432
02/2023,Burgos,Terrestre,2.020934608,0.0,2.020934608,489.270169308,0.0,489.270169308,2.079211,10.72263814
01/2023,Burgos,Terrestre,2.008517298,0.0,2.008517298,494.795598877,0.0,494.795598877,2.039046,10.897507746
12/2022,Burgos,Terrestre,2.053164585,0.0,2.053164585,492.405471324,0.0,492.405471324,1.717815,10.939459905
11/2022,Burgos,Terrestre,2.068075702,0.0,2.068075702,497.633693548,0.0,497.633693548,1.638895,11.326739319
10/2022,Burgos,Terrestre,1.65383823,0.0,1.65383823,492.431971799,0.0,492.431971799,1.653879,11.314399065
09/2022,Burgos,Terrestre,1.496729107,0.0,1.496729107,492.238033068,0.0,492.238033068,1.554044,10.902370451
08/2022,Burgos,Terrestre,1.29904017,0.0,1.29904017,485.62372461,0.0,485.62372461,1.52005,10.440620772
07/2022,Burgos,Terrestre,1.225191665,0.0,1.225191665,490.829056133,0.0,490.829056133,1.561095,10.69323072
06/2022,Burgos,Terrestre,1.221321189,0.0,1.221321189,492.957223259,0.0,492.957223259,1.51243,11.144595472
05/2022,Burgos,Terrestre,1.210364527,0.0,1.210364527,487.654258933,0.0,487.654258933,1.515323,10.529541574
04/2022,Burgos,Terrestre,1.083595883,0.0,1.083595883,485.460346554,0.0,485.460346554,1.558633,9.96973075
03/2022,Burgos,Terrestre,1.290209722,0.0,1.290209722,493.476479027,0.0,493.476479027,1.522118,10.356739714
02/2022,Burgos,Terrestre,1.372121562,0.0,1.372121562,497.45644743,0.0,497.45644743,1.59559,10.316631444
01/2022,Burgos,Terrestre,1.339997862,0.0,1.339997862,502.929969001,0.0,502.929969001,1.515694,10.7457112
12/2021,Burgos,Terrestre,1.380965479,0.0,1.380965479,506.643001344,0.0,506.643001344,1.523006,11.014133919
11/2021,Burgos,Terrestre,1.410667186,0.0,1.410667186,511.545175858,0.0,511.545175858,1.486599,10.96590776
10/2021,Burgos,Terrestre,1.221803217,0.0,1.221803217,509.698676407,0.0,509.698676407,1.446258,10.717257267
09/2021,Burgos,Terrestre,1.271394717,0.0,1.271394717,514.599277107,0.0,514.599277107,1.564079,10.63151916
08/2021,Burgos,Terrestre,1.326988785,0.0,1.326988785,500.680102797,0.0,500.680102797,1.469662,9.77591571
07/2021,Burgos,Terrestre,1.32778729,0.0,1.32778729,496.243274441,0.0,496.243274441,1.506173,9.534680337
06/2021,Burgos,Terrestre,1.399226582,0.0,1.399226582,502.413181054,0.0,502.413181054,1.49093,10.048081445
05/2021,Burgos,Terrestre,1.529093187,0.0,1.529093187,510.995136748,0.0,510.995136748,1.46357,10.578412445
04/2021,Burgos,Terrestre,1.564959305,0.0,1.564959305,527.488123397,0.0,527.488123397,1.548699,10.949904356
03/2021,Burgos,Terrestre,1.745738142,0.0,1.745738142,537.187281306,0.0,537.187281306,1.555253,11.670995436
02/2021,Burgos,Terrestre,1.418553638,0.0,1.418553638,523.151408892,0.0,523.151408892,1.474808,10.167020423
01/2021,Burgos,Terrestre,1.222579955,0.0,1.222579955,524.247352715,0.0,524.247352715,1.464964,10.073885348
12/2020,Burgos,Terrestre,0.95811915,0.0,0.95811915,513.797505324,0.0,513.797505324,5.116221,9.820519527
11/2020,Burgos,Terrestre,0.923867065,0.0,0.923867065,513.144088049,0.0,513.144088049,1.408912,9.447988788
10/2020,Burgos,Terrestre,1.821430546,0.0,1.821430546,578.215686133,0.0,578.215686133,1.848368,11.404953182
