COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,
PRODUCCION POR ENTIDAD FEDERATIVA,,,,,,,,,
"Datos de producción mensual de aceite, gas, condensado y agua por entidad federativa.",,,,,,,,,
Datos a enero - 2025.,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd),,,,,,,,,
Este reporte se emite con fines ilustrativos y no puede considerarse como información oficial para la determinación del monto de participaciones en los ingresos petroleros que corresponden a los estados.,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.",,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,
Las cifras están sujetas a revisión.,,,,,,,,,
,,,,,,,,,
FECHA,ENTIDAD_FEDERATIVA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,N2_MMPCD,AGUA_MBD
01/2000,CAMPECHE,2389.87525,2389.87525,0.0,1590.71008,1589.61007,1.10001,,15.84419
01/2000,CHIAPAS,52.432590000000005,52.432590000000005,0.0,661.0974,661.0974,0.0,,16.636860000000002
01/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,13.16765,0.0,13.16765,,0.82334
01/2000,NUEVO LEÓN,0.17373,0.0,0.17373,467.28521,0.0,467.28521,,4.001510000000001
01/2000,PUEBLA,3.23332,3.23332,0.0,7.818919999999999,7.818919999999999,0.0,,0.17753000000000002
01/2000,SAN LUIS POTOSÍ,0.5083,0.5083,0.0,0.07381,0.07381,0.0,,0.55553
01/2000,TABASCO,497.57758,496.42986,1.14772,1259.00342,1113.44084,145.56258,,50.69741
01/2000,TAMAULIPAS,23.49527,21.66686,1.82841,567.67413,34.14131,533.53282,,34.368100000000005
01/2000,VERACRUZ DE IGNACIO DE LA LLAVE,66.52865,65.23951,1.28914,236.78696,82.91706,153.8699,,61.24847
02/2000,CAMPECHE,2262.50786,2262.50786,0.0,1531.02341,1529.8234,1.20001,,18.65077
02/2000,CHIAPAS,49.13158,49.13158,0.0,573.59447,573.59447,0.0,,14.92907
02/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,12.929509999999999,0.0,12.929509999999999,,0.96158
02/2000,NUEVO LEÓN,0.20751,0.0,0.20751,484.85856,0.0,484.85856,,4.56072
02/2000,PUEBLA,3.03513,3.03513,0.0,7.839659999999999,7.839659999999999,0.0,,0.15485000000000002
02/2000,SAN LUIS POTOSÍ,0.55564,0.55564,0.0,0.05408,0.05408,0.0,,0.53662
02/2000,TABASCO,493.81189,492.68064000000004,1.13125,1253.10455,1105.04502,148.05952,,50.4706
02/2000,TAMAULIPAS,23.71405,21.54738,2.16667,547.71565,34.561749999999996,513.1539,,36.850480000000005
02/2000,VERACRUZ DE IGNACIO DE LA LLAVE,66.87619,65.12409,1.7521,241.74456999999998,81.638,160.10658,,61.161449999999995
03/2000,CAMPECHE,2363.0385,2363.0385,0.0,1577.96971,1576.7697,1.20001,,20.37063
03/2000,CHIAPAS,51.40126,51.40126,0.0,647.91079,647.91079,0.0,,15.80499
03/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,11.87731,0.0,11.87731,,0.72963
03/2000,NUEVO LEÓN,0.28099,0.0,0.28099,495.53649,0.0,495.53649,,3.79094
03/2000,PUEBLA,2.94405,2.94405,0.0,7.84727,7.84727,0.0,,0.14996
03/2000,SAN LUIS POTOSÍ,0.4756,0.4756,0.0,0.06623,0.06623,0.0,,0.42414
03/2000,TABASCO,492.31239,491.24398,1.06841,1245.6066,1097.79439,147.81221,,48.159639999999996
03/2000,TAMAULIPAS,23.60422,20.98788,2.61634,535.40741,34.491189999999996,500.91622,,36.04763
03/2000,VERACRUZ DE IGNACIO DE LA LLAVE,66.97098,65.2991,1.67188,239.86023,81.99304000000001,157.86718,,60.370090000000005
04/2000,CAMPECHE,2411.69383,2411.69383,0.0,1623.85952,1622.66118,1.19834,,22.55229
04/2000,CHIAPAS,52.75603,52.75603,0.0,637.56659,637.56659,0.0,,15.776140000000002
04/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,13.22915,0.0,13.22915,,1.3364
04/2000,NUEVO LEÓN,0.48819,0.0,0.48819,453.13589,0.0,453.13589,,5.84173
04/2000,PUEBLA,2.78365,2.78365,0.0,7.81786,7.81786,0.0,,0.25748000000000004
04/2000,SAN LUIS POTOSÍ,0.46245,0.46245,0.0,0.05944,0.05944,0.0,,0.43321
04/2000,TABASCO,487.98454,486.95788,1.02666,1232.49955,1084.62998,147.86956,,48.02863
04/2000,TAMAULIPAS,22.171039999999998,20.84984,1.3212000000000002,473.44562,34.7251,438.72052,,30.02671
04/2000,VERACRUZ DE IGNACIO DE LA LLAVE,64.35245,63.05231,1.30014,223.51294,81.20441,142.30853,,60.43636
05/2000,CAMPECHE,2406.41377,2406.41377,0.0,1640.04818,1638.84817,1.20001,,25.37184
05/2000,CHIAPAS,52.61965,52.61965,0.0,633.99337,633.99337,0.0,,15.94731
05/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,13.508560000000001,0.0,13.508560000000001,,1.5538
05/2000,NUEVO LEÓN,0.9022000000000001,0.0,0.9022000000000001,475.82509000000005,0.0,475.82509000000005,,6.98886
05/2000,PUEBLA,2.78062,2.78062,0.0,7.41602,7.41602,0.0,,0.28997999999999996
05/2000,SAN LUIS POTOSÍ,0.49229,0.49229,0.0,0.06114,0.06114,0.0,,0.49605
05/2000,TABASCO,490.4462,489.34126,1.10494,1237.7945200000001,1090.81875,146.97578,,48.11906
05/2000,TAMAULIPAS,23.313959999999998,20.92201,2.39195,545.71925,35.23792,510.48133,,30.97455
05/2000,VERACRUZ DE IGNACIO DE LA LLAVE,66.28026,64.93554,1.34472,228.61603,81.43339999999999,147.18263,,60.39102
06/2000,CAMPECHE,2418.74783,2418.74783,0.0,1630.85045,1629.77711,1.07334,,25.43595
06/2000,CHIAPAS,52.036359999999995,52.036359999999995,0.0,628.43183,628.43183,0.0,,16.33088
06/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,12.77103,0.0,12.77103,,1.36884
06/2000,NUEVO LEÓN,0.9025299999999999,0.0,0.9025299999999999,492.04568,0.0,492.04568,,7.33965
06/2000,PUEBLA,2.8077,2.8077,0.0,7.37744,7.37744,0.0,,0.29792
06/2000,SAN LUIS POTOSÍ,0.43734,0.43734,0.0,0.04362,0.04362,0.0,,0.57664
06/2000,TABASCO,494.45067,493.51875,0.93192,1235.99087,1094.7327,141.25817,,49.62985
06/2000,TAMAULIPAS,23.26679,21.1407,2.12609,538.6244,35.16258,503.46182,,30.95871
06/2000,VERACRUZ DE IGNACIO DE LA LLAVE,65.99746,64.62101,1.37645,230.98931,81.40754,149.58175,,60.94068
07/2000,CAMPECHE,2246.58934,2246.58934,0.0,1442.80374,1442.80374,0.0,,21.35286
07/2000,CHIAPAS,50.54257,50.54257,0.0,634.54618,634.54618,0.0,,16.46602
07/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,12.255429999999999,0.0,12.255429999999999,,1.05132
07/2000,NUEVO LEÓN,0.6640199999999999,0.0,0.6640199999999999,472.1641,0.0,472.1641,,7.1866699999999994
07/2000,PUEBLA,2.8064,2.8064,0.0,7.264209999999999,7.264209999999999,0.0,,0.2955
07/2000,SAN LUIS POTOSÍ,0.55855,0.55855,0.0,0.48302,0.48302,0.0,,0.2899
07/2000,TABASCO,488.16191,487.22314,0.9387700000000001,1223.53394,1083.34198,140.19196,,50.05616
07/2000,TAMAULIPAS,23.37757,21.64525,1.7323199999999999,565.85388,34.77866,531.0752200000001,,29.29221
07/2000,VERACRUZ DE IGNACIO DE LA LLAVE,65.94859,64.58062,1.36797,229.46778,81.38417,148.08359,,60.19597
08/2000,CAMPECHE,2539.88698,2539.88698,0.0,1627.39346,1627.39346,0.0,,27.7792
08/2000,CHIAPAS,49.42984,49.42984,0.0,625.92361,625.92361,0.0,,16.07582
08/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,13.00493,0.0,13.00493,,1.11639
08/2000,NUEVO LEÓN,0.54581,0.0,0.54581,463.52304,0.0,463.52304,,6.08428
08/2000,PUEBLA,2.76951,2.76951,0.0,7.48035,7.48035,0.0,,0.28946
08/2000,SAN LUIS POTOSÍ,0.62084,0.62084,0.0,0.90625,0.90625,0.0,,0.29525
08/2000,TABASCO,482.63618,481.67314,0.96304,1212.15666,1067.1107,145.04596,,51.42246
08/2000,TAMAULIPAS,23.40209,21.625329999999998,1.7767600000000001,567.95616,34.76056,533.1956,,31.317120000000003
08/2000,VERACRUZ DE IGNACIO DE LA LLAVE,65.67508000000001,64.34253,1.3325500000000001,228.4418,80.19419,148.24759,,60.03254
09/2000,CAMPECHE,2555.91159,2555.91159,0.0,1572.96619,1572.96619,0.0,,29.70484
09/2000,CHIAPAS,48.711580000000005,48.711580000000005,0.0,608.32244,608.32244,0.0,,16.937739999999998
09/2000,COAHUILA DE ZARAGOZA,0.0,0.0,0.0,12.64874,0.0,12.64874,,0.72636
09/2000,NUEVO LEÓN,0.6038199999999999,0.0,0.6038199999999999,448.21311000000003,0.0,448.21311000000003,,6.28588
09/2000,PUEBLA,2.70925,2.70925,0.0,7.95371,7.95371,0.0,,0.28543
