Nome Poço ANP;Nome Poço Operador;Bloco;Bacia;Campo;Contrato;Operador;Início Perfuração;Lâmina d'água (m);Latitude;Longitude;Objetivo da Intervenção;Sonda;Terra ou Mar
1-AG-1-SE           ;1AG  0001  SE       ;AG        ;Sergipe;AGUILHADA;480000038429709               ;Carmo;20/04/1966;;"	-10:41:12,530 ";"	-36:53:17,299 ";Abandono;SONDA CONVENCIONAL 59;TERRA
1-ALV-6D-BA         ;1-ALV-183-1-BA      ;REC-T-183 ;Recôncavo;MURUCUTUTU;48610001295200845             ;Alvopetro;27/07/2014;0;"	-12:27:04,852 ";"	-38:11:38,502 ";Completação;RAPID RIG Sonda Convencional de Perfuração KM;TERRA
1-BRSA-1146-RJS     ;1RJS711             ;IARA_ENT  ;Santos;ATAPU;48610012913201005             ;Petrobras;18/12/2012;2266;"	-24:58:31,873 ";"	-42:26:18,323 ";Restauração;Cerrado;MAR
1-BRSA-1404DC-RJS   ;1-RJS-766DC         ;C-M-477   ;Campos;;48610221672201913             ;Petrobras;22/12/2025;2979;"	-23:15:11,130 ";"	-39:34:05,719 ";Perfuração;;MAR
1-BRSA-1405-APS     ;1-APS-57            ;FZA-M-59  ;Foz do Amazonas;;48610005507201321             ;Petrobras;20/10/2025;2887;"	+05:17:10,365 ";"	-50:06:15,018 ";Perfuração;;MAR
1-LV-2-RN           ;1LV  0002  RN       ;LV        ;Potiguar;LIVRAMENTO;480000038059774               ;PetroRecôncavo;25/01/1986;0;"	-05:36:40,091 ";"	-37:31:53,146 ";Completação;SONDA CONVENCIONAL 97;TERRA
1-MM-1-BA           ;1MM  0001  BA       ;RBU       ;Recôncavo;RIO DO BU;480000036869787               ;Petrobras;25/10/1984;;"	-11:50:42,950 ";"	-37:50:32,351 ";Restauração;;TERRA
1-PSY-18-BA         ;1PSY18BALOC-3       ;REC-T-153 ;Recôncavo;TROVOADA;48610001293200856             ;Petrosynergy;17/02/2010;0;"	-12:21:18,835 ";"	-38:24:47,941 ";Restauração;SONDA PIONEIRA BRASIL;TERRA
1-SES-114-SE        ;1SES 0114  SE       ;GA        ;Sergipe;GUARICEMA;480000038399796               ;Petrobras;04/06/1997;38;"	-11:10:39,018 ";"	-37:01:07,009 ";Abandono;NORTH STAR I;MAR
3-AR-3-BA           ;3AR  0003  BA       ;AR        ;Recôncavo;ARAÇÁS;480000036319795               ;Petrobras;28/06/1965;;"	-12:08:22,601 ";"	-38:08:49,247 ";Restauração;SONDA CONVENCIONAL 34;TERRA
