idx;ano;mes;numero;uf;modalidade;proc;tipo;empresa;obj;valor;inicio;fim;value
0;2023;01;ARG-2023-6595;XX;LIC;PUBLIC;SERVICE;HALLIBURTON ARGENTINA;Servicios integrales de complet - High Criticality Service;0;01/01/2023;31/12/2026;$ 373,000,000.00 ARS
1;2025;01;ARG-2025-0804;XX;LIC;PUBLIC;SERVICE;HALLIBURTON ARGENTINA;Ejecución de trabajos de ciment - High Criticality Service;0;01/01/2025;31/12/2028;$ 406,000,000.00 ARS
2;2023;01;ARG-2023-1150;XX;LIC;PUBLIC;SERVICE;TECPETROL;Suministro de materiales para mpd - High Criticality Service;0;01/01/2023;31/12/2026;$ 73,000,000.00 ARS
3;2023;01;ARG-2023-1420;XX;LIC;PUBLIC;SERVICE;PLUSPETROL;Suministro de materiales para ciment - High Criticality Service;0;01/01/2023;31/12/2026;$ 325,000,000.00 ARS
4;2025;01;ARG-2025-6570;XX;LIC;PUBLIC;SERVICE;YPF S.A.;Provisión de servicios de fluidos - High Criticality Service;0;01/01/2025;31/12/2028;$ 283,000,000.00 ARS
5;2020;01;ARG-2020-4972;XX;LIC;PUBLIC;SERVICE;PLUSPETROL;Ejecución de trabajos de complet - High Criticality Service;0;01/01/2020;31/12/2023;$ 255,000,000.00 ARS
6;2022;01;ARG-2022-3152;XX;LIC;PUBLIC;SERVICE;PLUSPETROL;Ejecución de trabajos de complet - High Criticality Service;0;01/01/2022;31/12/2025;$ 399,000,000.00 ARS
7;2025;01;ARG-2025-8107;XX;LIC;PUBLIC;SERVICE;HALLIBURTON ARGENTINA;Ejecución de trabajos de workover - High Criticality Service;0;01/01/2025;31/12/2028;$ 159,000,000.00 ARS
8;2024;01;ARG-2024-1565;XX;LIC;PUBLIC;SERVICE;PLUSPETROL;Suministro de materiales para ciment - High Criticality Service;0;01/01/2024;31/12/2027;$ 182,000,000.00 ARS
9;2026;01;ARG-2026-6554;XX;LIC;PUBLIC;SERVICE;TECPETROL;Servicios integrales de ciment - High Criticality Service;0;01/01/2026;31/12/2029;$ 207,000,000.00 ARS
10;2026;01;ARG-2026-9047;XX;LIC;PUBLIC;SERVICE;YPF S.A.;Servicios integrales de constru - High Criticality Service;0;01/01/2026;31/12/2029;$ 74,000,000.00 ARS
11;2021;01;ARG-2021-2232;XX;LIC;PUBLIC;SERVICE;HALLIBURTON ARGENTINA;Provisión de servicios de mpd - High Criticality Service;0;01/01/2021;31/12/2024;$ 420,000,000.00 ARS
12;2021;01;ARG-2021-5577;XX;LIC;PUBLIC;SERVICE;TECPETROL;Ejecución de trabajos de constru - High Criticality Service;0;01/01/2021;31/12/2024;$ 102,000,000.00 ARS
13;2022;01;ARG-2022-5035;XX;LIC;PUBLIC;SERVICE;HALLIBURTON ARGENTINA;Ejecución de trabajos de workover - High Criticality Service;0;01/01/2022;31/12/2025;$ 437,000,000.00 ARS
