Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1307/000033;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000216;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000229;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000237;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000264;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000323;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000333;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000385;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000387;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000391;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1309/000405;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000182;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000203;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000209;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000210;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000257;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000324;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000464;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1310/000516;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1311/000015;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1312/000065;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1401/000033;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1401/000045;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1402/000087;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1403/000077;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1403/000083;SSO - Falha estrutural em poço;;
1404/000006;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1405/000128;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1406/000084;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1407/000055;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1407/000087;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1407/000106;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1408/000141;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1409/000038;Falha da barreira primária na perfuração ou intervenção em poços (kick);MODERADO;Acidente
1409/000108;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1411/000067;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1411/000141;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000084;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000144;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1502/000175;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1503/000037;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1503/000058;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000004;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000074;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000179;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1504/000202;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1506/000031;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1506/000140;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1507/000052;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1508/000106;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1508/000115;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1508/000180;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1509/000058;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1509/000144;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1510/000108;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1511/000086;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1511/000105;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1601/000157;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1602/001031;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1602/001089;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1602/001114;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1602/001120;SSO - Falha estrutural em poço;;
1602/001144;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1604/000063;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1605/000117;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1606/000021;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1606/000030;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1606/000042;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1607/000010;SSO - Falha estrutural em poço;;
1607/000011;SSO - Falha estrutural em poço;;
1607/000022;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1608/000091;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1609/000158;SSO - Falha estrutural em poço;;
1610/000249;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1612/000164;SSO - Falha estrutural em poço;;
