idx;ano;mes;numero;uf;modalidade;proc;tipo;empresa;obj;valor;inicio;fim;value
0;2025;01;MEX-2025-6766;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de mpd - High Criticality Service;0;01/01/2025;31/12/2028;$ 44,000,000.00 MXN
1;2022;01;MEX-2022-7959;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Suministro de materiales para ciment - High Criticality Service;0;01/01/2022;31/12/2025;$ 45,000,000.00 MXN
2;2026;01;MEX-2026-9552;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Servicios integrales de geol - High Criticality Service;0;01/01/2026;31/12/2029;$ 12,000,000.00 MXN
3;2025;01;MEX-2025-4817;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de estimul - High Criticality Service;0;01/01/2025;31/12/2028;$ 54,000,000.00 MXN
4;2022;01;MEX-2022-9088;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Ejecución de trabajos de geol - High Criticality Service;0;01/01/2022;31/12/2025;$ 31,000,000.00 MXN
5;2022;01;MEX-2022-9411;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Suministro de materiales para estimul - High Criticality Service;0;01/01/2022;31/12/2025;$ 13,000,000.00 MXN
6;2023;01;MEX-2023-5694;XX;LIC;PUBLIC;SERVICE;PEMEX EXPLORACIÓN Y PRODUCCIÓN;Provisión de servicios de ciment - High Criticality Service;0;01/01/2023;31/12/2026;$ 9,000,000.00 MXN
7;2023;01;MEX-2023-3360;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Ejecución de trabajos de workover - High Criticality Service;0;01/01/2023;31/12/2026;$ 12,000,000.00 MXN
8;2026;01;MEX-2026-3259;XX;LIC;PUBLIC;SERVICE;COTEMAR;Ejecución de trabajos de workover - High Criticality Service;0;01/01/2026;31/12/2029;$ 54,000,000.00 MXN
9;2026;01;MEX-2026-8016;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de workover - High Criticality Service;0;01/01/2026;31/12/2029;$ 6,000,000.00 MXN
10;2021;01;MEX-2021-8253;XX;LIC;PUBLIC;SERVICE;HALLIBURTON DE MEXICO;Servicios integrales de estimul - High Criticality Service;0;01/01/2021;31/12/2024;$ 48,000,000.00 MXN
11;2021;01;MEX-2021-6754;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Provisión de servicios de geol - High Criticality Service;0;01/01/2021;31/12/2024;$ 22,000,000.00 MXN
12;2026;01;MEX-2026-0301;XX;LIC;PUBLIC;SERVICE;GRUPO PROTEXA;Ejecución de trabajos de fluidos - High Criticality Service;0;01/01/2026;31/12/2029;$ 49,000,000.00 MXN
