numero;tipo;gravidade;evento
2612/855981;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Ekofisk Complex) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/542199;SSO - CSB / Shear system malfunction;SEVERE;(NCS-Aasta Hansteen) Detected csb failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/470298;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/460145;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/427211;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/368770;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/393172;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/145862;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2612/102212;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/932915;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/836744;SSO - Major structural fatigue or damage;MINOR;(NCS-Oseberg Field Centre) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/727892;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Ekofisk Complex) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/633158;SSO - BOP failure during test/operation;MINOR;(NCS-Gullfaks C) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/621519;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Martin Linge) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/653064;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Heidrun) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/503464;SSO - BOP failure during test/operation;MINOR;(NCS-Statfjord B) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/488241;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Gullfaks C) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/427246;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Asgard A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/362901;SSO - Major structural fatigue or damage;MINOR;(NCS-Heidrun) Detected structural failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/327424;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/322534;SSO - Dropped objects > 50 Joules;MODERATE;(NCS-Snorre A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/319963;SSO - Dropped objects > 50 Joules;SEVERE;(NCS-Troll A) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/341979;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Heidrun) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/261687;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/139764;SSO - Accidental hydrocarbon leak >0.1kg/s;MINOR;(NCS-Martin Linge) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2611/017578;SSO - BOP failure during test/operation;MINOR;(NCS-Ekofisk Complex) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/957362;SSO - Dropped objects > 50 Joules;MINOR;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/759996;SSO - BOP failure during test/operation;MODERATE;(NCS-Gullfaks C) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/763620;SSO - BOP failure during test/operation;MINOR;(NCS-Snorre A) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/639760;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Johan Sverdrup) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/558636;SSO - Incident involving Well Control equipment / kick;MINOR;(NCS-Heidrun) Detected kick (primary barrier) condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/461941;SSO - BOP failure during test/operation;MODERATE;(NCS-Martin Linge) Detected bop failure condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
2610/312737;SSO - Accidental hydrocarbon leak >0.1kg/s;MODERATE;(NCS-Oseberg Field Centre) Detected other condition requiring intervention. Standard RNNP recording protocols initiated under HAVTIL directives.
