COMISION NACIONAL DE HIDROCARBUROS
PRODUCCION REPORTADA AL FMP POR CONTRATO
FECHA DE DESCARGA: 1/4/2026 - 11:37:09 P.M.


,2016/MAY,2016/JUN,2016/JUL,2016/AGO,2016/SEP,2016/OCT,2016/NOV,2016/DIC,2017/ENE,2017/FEB,2017/MAR,2017/ABR,2017/MAY,2017/JUN,2017/JUL,2017/AGO,2017/SEP,2017/OCT,2017/NOV,2017/DIC,2018/ENE,2018/FEB,2018/MAR,2018/ABR,2018/MAY,2018/JUN,2018/JUL,2018/AGO,2018/SEP,2018/OCT,2018/NOV,2018/DIC,2019/ENE,2019/FEB,2019/MAR,2019/ABR,2019/MAY,2019/JUN,2019/JUL,2019/AGO,2019/SEP,2019/OCT,2019/NOV,2019/DIC,2020/ENE,2020/FEB,2020/MAR,2020/ABR,2020/MAY,2020/JUN,2020/JUL,2020/AGO,2020/SEP,2020/OCT,2020/NOV,2020/DIC,2021/ENE,2021/FEB,2021/MAR,2021/ABR,2021/MAY,2021/JUN,2021/JUL,2021/AGO,2021/SEP,2021/OCT,2021/NOV,2021/DIC,2022/ENE,2022/FEB,2022/MAR,2022/ABR,2022/MAY,2022/JUN,2022/JUL,2022/AGO,2022/SEP,2022/OCT,2022/NOV,2022/DIC,2023/ENE,2023/FEB,2023/MAR,2023/ABR,2023/MAY,2023/JUN,2023/JUL,2023/AGO,2023/SEP,2023/OCT,2023/NOV,2023/DIC,2024/ENE,2024/FEB,2024/MAR,2024/ABR,2024/MAY,2024/JUN,2024/JUL,2024/AGO,2024/SEP,2024/OCT,2024/NOV,2024/DIC,2025/ENE
    HIDROCARBUROS LIQUIDOS (MBD),1.444,1.822,1.601,1.493,1.396,1.426,1.38,1.343,1.238,1.312,1.428,1.588,32.718,35.6,36.301,36.772,36.487,29.759,31.157,39.112,43.465,43.571,53.426,51.506,53.487,56.095,53.174,63.547,69.524,69.21,68.815,69.441,70.923,75.133,75.995,77.599,74.263,72.605,87.058,93.061,95.744,95.231,99.699,104.107,110.791,108.031,108.003,119.903,125.24,129.073,126.632,124.374,118.954,113.537,116.195,119.947,116.852,117.056,130.311,135.918,142.807,146.342,137.347,133.228,138.213,137.601,150.153,157.672,170.196,161.492,153.035,175.36,182.719,194.45,167.043,180.027,198.938,177.129,201.411,191.698,191.444,213.96,191.646,209.163,209.653,206.23,199.602,191.894,213.027,205.568,186.848,203.569,180.481,178.154,177.849,169.899,189.449,166.069,185.039,183.553,185.965,196.743,168.99,188.941,162.655
      CNH-R01-L01-A7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      CNH-R01-L02-A1/2015,,,,,,,,,,,,,,,0.507,,,,,0.236,,0.27,,,,,,,,,,,,,,,,,5.415,8.191,9.431,10.016,12.398,12.14,11.369,11.401,12.766,16.477,18.084,18.696,18.005,18.765,17.995,16.802,15.759,16.257,14.65,14.807,17.854,14.77,17.924,19.586,15.709,15.971,14.772,14.625,13.691,12.588,12.974,5.334,,18.313,20.509,31.81,4.887,16.66,36.411,16.861,34.416,16.511,18.444,38.548,18.144,38.069,39.854,34.767,36.289,19.078,38.481,33.715,18.016,35.482,16.847,17.862,18.338,17.263,35.436,18.258,38.57,38.917,43.516,56.641,36.459,63.602,34.133
      CNH-R01-L02-A2/2015,,,,,,,,,,,,0.14,,,,,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.979,1.559,1.965,1.94,1.495,1.603,1.886,1.812,1.659,1.832,6.536,8.179,8.893,7.73,8.181,12.555,13.967,15.242,18.328,16.483,17.645,17.928,19.513,21.579,20.618,20.452,24.456,25.172,24.243,25.885,27.407,26.887,25.586,24.564,23.898,21.625,23.73,22.383,24.029,24.162,23.141,22.122,22.179,22.407,22.358,22.401,22.117,22.171,21.87,21.462,20.836,21.039,20.48,20.909,19.737,19.134
      CNH-R01-L02-A4/2015,,,,,,,,,,,,,,,,,,,,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.574,5.833,19.789,24.285,22.703,22.212,22.83,23.115,22.991,23.589,21.896,16.07,14.521,16.962,14.278,13.15,12.464,12.073,12.004,11.834,11.255,11,13.181,11.992,12.231,11.634,11.784,11.209,13.834,10.347,9.999,9.409,9.153,8.837,8.441,8.423,8.384,7.851,11.451
      CNH-R01-L03-A1/2015,0.137,0.265,0.259,0.13,,,,,,,,,,,0.038,0.062,0.053,0.112,0.131,0.13,0.111,0.14,0.15,0.156,0.144,0.175,0.217,0.216,0.205,0.216,0.261,0.247,0.293,0.305,0.245,0.258,0.248,0.243,0.336,0.394,0.394,0.321,0.319,0.295,0.3,0.325,0.319,0.292,0.303,0.257,0.261,0.319,0.339,0.333,0.335,0.336,0.298,0.334,0.311,0.322,0.302,0.27,0.278,0.287,0.3,0.273,0.299,0.315,0.308,0.305,0.328,0.314,0.291,0.27,0.272,0.259,0.253,0.281,0.269,0.301,0.264,0.27,0.27,0.252,0.262,0.218,0.223,0.218,0.171,0.213,0.215,0.246,0.238,0.237,0.199,,,,,,,,,,
      CNH-R01-L03-A2/2015,0.001,0,0.001,0.006,0.01,0.009,0.008,0.009,0.014,0.004,0.01,0.01,0.009,0.007,0.008,0.006,0.008,0.008,0.01,0.06,0.014,0.009,0.015,0.009,0.075,0.071,0.05,0.059,0.102,0.074,0.006,0.015,0.016,0.015,0.012,0.013,0.002,0.008,0.014,0.007,0.015,0.016,0.012,0.017,0.02,0.015,0.015,0.002,0.007,0.007,0.016,0.009,0.01,0.008,0.014,0.017,0.015,0.016,0.013,0.013,0.014,0.01,0.01,0.012,0.011,0.012,0.015,0.016,0.018,0.025,0.017,0.017,0.016,0.012,0.014,0.011,0.016,0.013,0.016,0.014,0.034,0.015,0.016,0.014,0.014,0.013,0.012,0.01,0.012,0.01,0.012,0.01,0.017,0.017,0.02,0.013,0.009,0.009,0.014,0.004,0.009,0.007,0.003,0.007,0.018
      CNH-R01-L03-A3/2015,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      CNH-R01-L03-A4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.058,0.045,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      CNH-R01-L03-A5/2015,0.001,0,0.001,0.004,0.007,0.005,0.005,0.005,0.005,0.011,0.008,0.004,0.009,0.007,0.004,0.005,0.005,0.004,0.004,0.039,0.007,0.007,0.006,0.005,0.031,0.025,0.028,0.017,0.037,0.026,0.002,0.008,0.004,0.003,0.004,0.004,0.001,0.002,0.003,0.003,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
