COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,
POZOS TERMINADOS,,,,,
,,,,,
Datos a diciembre - 2024.,,,,,
,,,,,
FECHA,CUENCA,CATEGORIA_POZO,UBICACION,OPERADOR,POZOS_TERMINADOS
01/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,36
01/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
01/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,2
01/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,39
02/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
02/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
02/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
02/2002,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
03/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,31
03/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
03/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
03/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,4
03/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
03/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
03/2002,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
03/2002,Tampico-Misantla,Exploración,Terrestre,Pemex Exploración y Producción,1
03/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
04/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,29
04/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
04/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,9
04/2002,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
04/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
04/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,30
05/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
05/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
05/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,1
05/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
06/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,28
06/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
06/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,2
06/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,1
06/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,2
06/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
07/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,27
07/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
07/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
07/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
07/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
07/2002,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
07/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
07/2002,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
07/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
07/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
08/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,29
08/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,3
08/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,5
08/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,3
08/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
09/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,21
09/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,5
09/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,6
09/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
09/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
09/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,2
10/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,27
10/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,3
10/2002,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
10/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
10/2002,Tampico-Misantla,Desarrollo,Aguas someras,Pemex Exploración y Producción,1
10/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
10/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
10/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,3
11/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,20
11/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,4
11/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,1
11/2002,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,1
11/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,1
11/2002,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
11/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,4
11/2002,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
12/2002,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,28
12/2002,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,2
12/2002,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
12/2002,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
12/2002,Cuencas del Sureste,Exploración,Terrestre,Pemex Exploración y Producción,2
12/2002,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,1
12/2002,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,3
01/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,22
01/2003,Burgos,Exploración,Terrestre,Pemex Exploración y Producción,1
01/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,4
01/2003,Cuencas del Sureste,Exploración,Aguas someras,Pemex Exploración y Producción,2
01/2003,Tampico-Misantla,Desarrollo,Terrestre,Pemex Exploración y Producción,2
01/2003,Tampico-Misantla,Exploración,Aguas someras,Pemex Exploración y Producción,1
01/2003,Veracruz,Desarrollo,Terrestre,Pemex Exploración y Producción,1
01/2003,Veracruz,Exploración,Terrestre,Pemex Exploración y Producción,1
02/2003,Burgos,Desarrollo,Terrestre,Pemex Exploración y Producción,28
02/2003,Cuencas del Sureste,Desarrollo,Aguas someras,Pemex Exploración y Producción,2
02/2003,Cuencas del Sureste,Desarrollo,Terrestre,Pemex Exploración y Producción,3
