COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,,,,,
PRODUCCION POR ASIGNACION,,,,,,,,,,,,
Produccion mensual,,,,,,,,,,,,
Datos a enero - 2025.,,,,,,,,,,,,
Notas: Las unidades corresponden a Miles de barriles diarios (Mbd) y Millones de pies cúbicos diarios (MMpcd).,,,,,,,,,,,,
El nombre de la asignación corresponde a la última.,,,,,,,,,,,,
"A partir de 2016 se contabiliza la producción de petróleo a una temperatura de 15.56 grados Celsius, de conformidad",,,,,,,,,,,,
con lo establecido en los Lineamientos Técnicos en Materia de Medición de Hidrocarburos.,,,,,,,,,,,,
Hidrocarburos líquidos: Se refiere a la suma de petróleo y condensado.,,,,,,,,,,,,
Para información geográfica de las asignaciones visite https://mapa.hidrocarburos.gob.mx,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA,ASIGNACION,NOMBRE,UBICACION,CUENCA,HIDROCARBUROS_LIQUIDOS_MBD,PETROLEO_MBD,CONDENSADO_MBD,GAS_MMPCD,GAS_ASOC_MMPCD,GAS_NASOC_MMPCD,NITROGENO_MMPCD,AGUA_MBD
01/2016,A-0019,A-0019-M - Campo Árabe,Terrestre,Burgos,0.0,0.0,0.0,0.815910328,0.0,0.815910328,0.002121,0.015468153
01/2016,A-0022,A-0022-M - Campo Arcabúz,Terrestre,Burgos,0.0,0.0,0.0,37.441775509,0.0,37.441775509,0.041185,0.166799674
01/2016,A-0023,A-0023-M - Campo Arcos,Terrestre,Burgos,0.0,0.0,0.0,22.044223189,0.0,22.044223189,0.019839,0.170332795
01/2016,A-0041,A-0041-M - Campo Barunda,Terrestre,Burgos,0.0,0.0,0.0,0.425537765,0.0,0.425537765,0.00051,0.002495876
01/2016,A-0044,A-0044-M - Campo Bayo,Terrestre,Burgos,0.0,0.0,0.0,6.613161608,0.0,6.613161608,0.016427,0.004890275
01/2016,A-0054,A-0054-M - Campo Cabeza,Terrestre,Burgos,0.0,0.0,0.0,4.307548795,0.0,4.307548795,0.015507,0.046237524
01/2016,A-0060,A-0060-M - Campo Cañón,Terrestre,Burgos,0.0,0.0,0.0,7.074118129,0.0,7.074118129,0.014855,0.4621133
01/2016,A-0072,A-0072-M - Campo Caudaloso,Terrestre,Burgos,0.0,0.0,0.0,5.044105183,0.0,5.044105183,0.005044,0.072977765
01/2016,A-0081,A-0081-M - Campo Chapul,Terrestre,Burgos,0.0,0.0,0.0,19.225845093,0.0,19.225845093,0.099974,0.144051678
01/2016,A-0098,A-0098-M - Campo Comitas,Terrestre,Burgos,0.0,0.0,0.0,36.257341849,0.0,36.257341849,0.199415,0.628459624
01/2016,A-0109,A-0109-M - Campo Cuatro Milpas,Terrestre,Burgos,0.0,0.0,0.0,14.908964235,0.0,14.908964235,0.052181,0.043516347
