Numero;Tipo_de_incidente;DSC_GRAVIDADE_TIPO;DSC_QUASE_ACIDENTE_ACIDENTE
1307/000022;SSO - Ferimento grave;;
1307/000023;SSO - Ferimento grave;;
1307/000025;SSO - Princípio de incêndio;;
1307/000026;SSO - Ferimento grave;;
1307/000027;SSO - Descarga menor de óleo;;
1307/000029;SSO - Quase acidente de alto potencial;;
1307/000031;SSO - Incêndio significante;;
1307/000032;SSO - Ferimento grave;;
1307/000033;SSO - Falha da barreira primária na perfuração ou intervenção em poços (kick);;
1307/000034;SSO - Ferimento grave;;
1307/000035;SSO - Princípio de incêndio;;
1307/000036;SSO - Ferimento grave;;
1307/000036;SSO - Quase acidente de alto potencial;;
1307/000037;Descarga menor de óleo;LEVE;Acidente
1307/000038;Descarga menor de óleo;LEVE;Acidente
1307/000039;Fatalidade;GRAVE;Acidente
1307/000039;Homem ao mar;MODERADO;Quase acidente
1307/000041;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1307/000042;SSO - Queda de objetos;;
1307/000043;SSO - Perda de fonte radioativa;;
1307/000044;SSO - Queda de objetos;;
1307/000045;SSO - Parada emergencial de nível menor;;
1307/000046;SSO - Descarga menor de óleo;;
1307/000047;SSO - Princípio de incêndio;;
1307/000048;Descarga menor de óleo;LEVE;Acidente
1307/000049;SSO - Desconexão de emergência;;
1307/000049;Reclassificação;;
1307/000049;SSO - Perda de posicionamento;;
1307/000050;Quase acidente de alto potencial;LEVE;Quase acidente
1307/000051;Reclassificação;;
1307/000055;SSO - Perda de contenção primária significante de água produzida;;
1307/000056;SSO - Descarga significante de água produzida;;
1307/000057;Reclassificação;;
1307/000058;SSO - Quase acidente de alto potencial;;
1307/000059;SSO - Ferimento grave;;
1307/000060;SSO - Ferimento grave;;
1307/000061;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1307/000063;SSO - Perda de contenção primária significante de material com alto potencial de dano;;
1307/000065;SSO - Ferimento grave;;
1307/000068;SSO - Descarga maior de água oleosa;;
1307/000069;SSO - Descarga significante de óleo;;
1307/000070;SSO - Quase acidente de alto potencial;;
1307/000071;SSO - Queda de objetos;;
1307/000072;SSO - Queda de objetos;;
1307/000073;SSO - Ferimento grave;;
1307/000074;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1308/000002;SSO - Parada emergencial de nível menor;;
1308/000003;SSO - Queda de objetos;;
1308/000004;Ferimento grave;MODERADO;Acidente
1308/000005;SSO - Princípio de incêndio;;
1308/000006;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1308/000007;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1308/000008;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1308/000009;SSO - Descarga menor de óleo;;
1308/000010;SSO - Descarga maior de água oleosa;;
1308/000011;SSO - Descarga menor de óleo;;
1308/000012;Reclassificação;;
1308/000012;SSO - Perda de posicionamento;;
1308/000013;SSO - Parada emergencial de nível menor;;
1308/000014;SSO - Parada emergencial de nível menor;;
1308/000015;SSO - Parada emergencial de nível menor;;
1308/000016;Reclassificação;;
1308/000016;SSO - Parada emergencial de nível menor;;
1308/000017;SSO - Quase acidente de alto potencial;;
1308/000018;SSO - Ferimento grave;;
1308/000019;SSO - Parada emergencial de nível menor;;
1308/000020;SSO - Queda de objetos;;
1308/000021;SSO - Queda de objetos;;
1308/000022;SSO - Ferimento grave;;
1308/000023;SSO - Interrupção não programada superior a 24 (vinte e quatro) horas decorrente de incidente operacional;;
1308/000025;SSO - Parada emergencial de nível menor;;
1308/000026;Reclassificação;;
1308/000026;SSO - Parada emergencial de nível menor;;
1308/000027;SSO - Queda de objetos;;
1308/000029;Ferimento grave;MODERADO;Acidente
1308/000030;SSO - Descarga menor de óleo;;
1308/000031;SSO - Descarga menor de óleo;;
1308/000032;SSO - Queda de objetos;;
1308/000033;SSO - Queda de objetos;;
1308/000034;Incêndio significante;GRAVE;Acidente
1308/000035;SSO - Explosão mecânica;;
1308/000035;SSO - Incêndio significante;;
1308/000036;SSO - Parada emergencial de nível menor;;
1308/000037;SSO - Ferimento grave;;
1308/000038;SSO - Quase acidente de alto potencial;;
1308/000039;SSO - Queda de objetos;;
1308/000040;SSO - Queda de objetos;;
1308/000042;SSO - Princípio de incêndio;;
1308/000044;SSO - Incêndio significante;;
1308/000046;SSO - Ferimento grave;;
1308/000047;SSO - Descarga significante de óleo;;
1308/000048;SSO - Ferimento grave;;
1308/000049;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1308/000050;SSO - Quase acidente de alto potencial;;
1308/000054;SSO - Quase acidente de alto potencial;;
1308/000055;SSO - Descarga maior de fluido de perfuração, completação ou intervenção em poços;;
1308/000057;Reclassificação;;
1308/000057;Perda de posicionamento;MODERADO;Quase acidente
1308/000057;Quase acidente de alto potencial;LEVE;Quase acidente
1308/000059;SSO - Parada emergencial de nível menor;;
1308/000060;SSO - Parada emergencial de nível menor;;
1308/000061;SSO - Parada emergencial de nível menor;;
1308/000062;SSO - Falha na demanda total ou parcial de sistema crítico de segurança operacional;;
1308/000063;SSO - Quase acidente de alto potencial;;
1308/000064;SSO - Ferimento grave;;
1308/000065;SSO - Parada emergencial de nível menor;;
1308/000068;Ferimento grave;MODERADO;Acidente
1308/000069;SSO - Parada emergencial de nível menor;;
1308/000070;Reclassificação;;
1308/000070;SSO - Parada emergencial de nível menor;;
1308/000071;SSO - Queda de objetos;;
1308/000072;SSO - Queda de objetos;;
1308/000074;SSO - Ferimento grave;;
1308/000075;Reclassificação;;
1308/000077;SSO - Parada emergencial de nível menor;;
1308/000078;SSO - Parada emergencial de nível menor;;
1308/000079;SSO - Parada emergencial de nível menor;;
1308/000080;SSO - Descarga significante de fluido de perfuração, completação ou intervenção em poços;;
1308/000081;SSO - Ferimento grave;;
1308/000082;Reclassificação;;
