id_pozo,operador,cuenca,formacion,year,etapas_fractura,agua_m3,presion_max_psi,potencia_hp,longitud_lateral_m,offshore_flag
MX-WELL-1000,PEMEX EXPLORACIÓN Y PRODUCCIÓN,VERACRUZ,terciario,2019,43,16265,6466,31962,2635,0
MX-WELL-1001,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2019,6,69735,12949,12433,1715,1
MX-WELL-1002,PETROBAL,TAMPICO-MISANTLA,cretácico,2023,31,35658,8558,28431,3247,0
MX-WELL-1003,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2017,48,66886,7267,41551,2028,1
MX-WELL-1004,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2021,22,20627,14792,18433,2541,0
MX-WELL-1005,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2021,48,27159,14226,24541,2455,1
MX-WELL-1006,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2020,46,62995,13989,19692,1202,0
MX-WELL-1007,ENI MÉXICO,SURESTE,jurásico superior,2018,18,42606,13629,35851,1516,1
MX-WELL-1008,PETROBAL,BURGOS,terciario,2019,28,22185,10859,18571,992,0
MX-WELL-1009,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,jurásico superior,2021,13,72592,8027,12695,1995,0
MX-WELL-1010,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,terciario,2017,37,22666,11892,13561,2778,1
MX-WELL-1011,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,pimienta,2016,37,99135,8454,21837,2251,0
MX-WELL-1012,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,5,18110,9840,27412,1002,1
MX-WELL-1013,FIELDWOOD ENERGY,SURESTE,cretácico,2024,46,33419,7484,32403,2257,1
MX-WELL-1014,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,cretácico,2018,17,72623,15914,37890,2319,0
MX-WELL-1015,REPSOL EXPLORACIÓN MÉXICO,BURGOS,cretácico,2020,32,79163,15555,31834,2163,0
MX-WELL-1016,ENI MÉXICO,BURGOS,jurásico superior,2015,5,76842,12776,37251,1472,0
MX-WELL-1017,WINTERSHALL DEA,SURESTE,cretácico,2023,41,23545,6663,44766,2131,1
MX-WELL-1018,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,16,62733,13554,33664,2136,1
MX-WELL-1019,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2016,32,10854,14164,17392,2932,1
MX-WELL-1020,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2020,36,73734,10931,42970,622,1
MX-WELL-1021,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2016,10,99045,7930,25087,2691,0
MX-WELL-1022,ENI MÉXICO,SURESTE,jurásico superior,2017,24,12811,13098,16546,1869,1
MX-WELL-1023,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2018,45,94896,7959,15759,3098,1
MX-WELL-1024,REPSOL EXPLORACIÓN MÉXICO,SURESTE,jurásico superior,2023,27,31918,10061,40306,762,1
MX-WELL-1025,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2015,6,41616,11423,30932,1683,0
MX-WELL-1026,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,24,16295,12197,22183,1127,1
MX-WELL-1027,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2018,39,12557,11592,26482,2700,1
MX-WELL-1028,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2020,39,71135,6956,38643,660,1
MX-WELL-1029,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2022,12,56214,7218,30880,1139,1
MX-WELL-1030,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2021,26,16893,7693,24373,2777,1
MX-WELL-1031,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,cretácico,2016,25,64045,13022,15600,952,0
MX-WELL-1032,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,21,66491,15435,28589,3024,1
MX-WELL-1033,PEMEX EXPLORACIÓN Y PRODUCCIÓN,BURGOS,terciario,2019,28,13420,6301,10699,1492,0
MX-WELL-1034,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2015,7,36641,7816,42745,2258,1
MX-WELL-1035,ENI MÉXICO,BURGOS,jurásico superior,2016,36,14014,7686,26538,3037,0
MX-WELL-1036,WINTERSHALL DEA,TAMPICO-MISANTLA,cretácico,2025,43,64748,11801,29190,1037,0
MX-WELL-1037,ENI MÉXICO,BURGOS,agua nueva,2024,11,99912,10780,12368,3059,0
MX-WELL-1038,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,pimienta,2016,6,20966,6853,38312,1074,1
MX-WELL-1039,PETROBAL,BURGOS,pimienta,2015,46,63006,8491,37236,2811,0
MX-WELL-1040,FIELDWOOD ENERGY,SURESTE,cretácico,2018,10,76412,15183,42093,546,1
MX-WELL-1041,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2016,46,93613,15874,31136,619,1
MX-WELL-1042,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2019,30,18308,11949,11150,2431,1
MX-WELL-1043,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2016,36,17805,11237,30056,987,1
MX-WELL-1044,REPSOL EXPLORACIÓN MÉXICO,TAMPICO-MISANTLA,cretácico,2019,26,69638,14130,29531,653,0
MX-WELL-1045,PEMEX EXPLORACIÓN Y PRODUCCIÓN,TAMPICO-MISANTLA,jurásico superior,2019,34,88781,12617,39222,2135,0
MX-WELL-1046,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2024,9,78385,13390,33289,2989,1
MX-WELL-1047,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2022,20,40977,15087,32687,1351,1
MX-WELL-1048,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,cretácico,2015,47,48304,9913,27450,784,1
MX-WELL-1049,PEMEX EXPLORACIÓN Y PRODUCCIÓN,SURESTE,jurásico superior,2017,39,37350,14967,33132,2125,1
