fecha_inicio_fractura,mes_carga,anio,longitud_rama_horizontal_m,presion_maxima_psi,co2_inyectado_m3,cantidad_fracturas,areapermisoconcesion,anio_ff,idpozo,mes_ff,id_base_fractura_adjiv,tipo_terminacion,agua_inyectada_m3,potencia_equipos_fractura_hp,sigla,arena_bombeada_nacional_tn,subtipo_reservorio,arena_bombeada_importada_tn,tipo_reservorio,fecha_fin_fractura,mes,cuenca,mes_if,anio_if,anio_carga,empresa_informante,fecha_data,formacion_productiva,yacimiento,tejas_match,tejas_found_in
2019-04-20T00:00:00,6,2019,0.0,10190.0,0.0,3,AGUA DEL CAJON,2019,159910,4,30,Punzado,2718.2,10897.0,APS.Nq.ADC.xp-1033,0.0,SHALE,0.0,NO CONVENCIONAL,2019-04-30T00:00:00,4,NEUQUINA,4,2019,2019,CAPEX S.A.,2019-06-14T17:13:03,los molles,AGUA DEL CAJON,False,
2018-11-02T00:00:00,6,2018,0.0,9250.0,0.0,1,AGUA DEL CAJON,2018,159910,11,31,Punzado,600.0,10251.0,APS.Nq.ADC.xp-1033,0.0,SHALE,0.0,NO CONVENCIONAL,2018-11-03T00:00:00,11,NEUQUINA,11,2018,2019,CAPEX S.A.,2019-06-14T17:14:19,los molles,AGUA DEL CAJON,False,
2017-11-19T00:00:00,6,2017,1437.3,15000.0,0.0,18,AGUADA DE LA ARENA,2017,159219,12,37,Tapón disparo,25768.3,32000.0,YPF.Nq.AdlA-1001(h),3761.37,SHALE,536.85,NO CONVENCIONAL,2017-12-14T00:00:00,11,NEUQUINA,11,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2017-11-21T00:00:00,6,2017,1518.3,11348.0,0.0,19,AGUADA DE LA ARENA,2017,159220,12,38,Tapón disparo,27398.37,32000.0,YPF.Nq.AdlA-1002(h),3903.705,SHALE,558.225,NO CONVENCIONAL,2017-12-15T00:00:00,11,NEUQUINA,11,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2017-11-18T00:00:00,6,2017,1482.3,11076.0,0.0,19,AGUADA DE LA ARENA,2017,159221,12,39,Tapón disparo,27157.6,32000.0,YPF.Nq.AdlA-1003(h),3949.02,SHALE,569.925,NO CONVENCIONAL,2017-12-15T00:00:00,11,NEUQUINA,11,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2019-01-17T00:00:00,6,2019,1424.0,11900.0,0.0,18,AGUADA DE LA ARENA,2019,160426,2,40,Tapón disparo,26054.0,32000.0,YPF.Nq.AdlA-1004(h),3747.015,SHALE,550.71,NO CONVENCIONAL,2019-02-02T00:00:00,1,NEUQUINA,1,2019,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2019-01-17T00:00:00,6,2019,1504.0,11750.0,0.0,19,AGUADA DE LA ARENA,2019,160518,2,41,Tapón disparo,27624.0,32000.0,YPF.Nq.AdlA-1005(h),3883.05,SHALE,572.895,NO CONVENCIONAL,2019-02-03T00:00:00,1,NEUQUINA,1,2019,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2019-01-18T00:00:00,6,2019,1504.0,11400.0,0.0,19,AGUADA DE LA ARENA,2019,160519,2,42,Tapón disparo,28123.0,32000.0,YPF.Nq.AdlA-1006(h),3959.685,SHALE,572.805,NO CONVENCIONAL,2019-02-03T00:00:00,1,NEUQUINA,1,2019,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2018-09-02T00:00:00,6,2018,1984.3,11250.0,0.0,25,AGUADA DE LA ARENA,2018,160427,10,43,Tapón disparo,35715.0,34000.0,YPF.Nq.AdlA-1007(h),5077.35,SHALE,753.254999999999,NO CONVENCIONAL,2018-10-01T00:00:00,9,NEUQUINA,9,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2018-09-03T00:00:00,6,2018,1984.3,11350.0,0.0,25,AGUADA DE LA ARENA,2018,160330,10,44,Tapón disparo,36085.0,34000.0,YPF.Nq.AdlA-1008(h),5111.28,SHALE,742.005,NO CONVENCIONAL,2018-10-02T00:00:00,9,NEUQUINA,9,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2018-09-03T00:00:00,6,2018,1984.3,11480.0,0.0,25,AGUADA DE LA ARENA,2018,160331,10,45,Tapón disparo,36014.0,34000.0,YPF.Nq.AdlA-1009(h),5098.23,SHALE,764.235000000001,NO CONVENCIONAL,2018-10-02T00:00:00,9,NEUQUINA,9,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,AGUADA DE LA ARENA,False,
2015-04-21T00:00:00,6,2015,1146.4,10936.0,0.0,15,EL OREJANO,2015,154744,5,46,Tapón disparo,15526.6,28000.0,YPF.Nq.EOr-10(h),985.23,SHALE,2442.96,NO CONVENCIONAL,2015-05-02T00:00:00,4,NEUQUINA,4,2015,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2017-09-25T00:00:00,6,2017,2465.5,11200.0,0.0,27,EL OREJANO,2017,158750,10,47,Tapón disparo,38961.1,34000.0,YPF.Nq.EOr-102(h),4787.055,SHALE,808.65,NO CONVENCIONAL,2017-10-24T00:00:00,9,NEUQUINA,9,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2017-09-12T00:00:00,6,2017,1973.5,11530.0,0.0,25,EL OREJANO,2017,158751,10,48,Tapón disparo,34249.5,34000.0,YPF.Nq.EOr-103(h),4423.545,SHALE,757.62,NO CONVENCIONAL,2017-10-10T00:00:00,9,NEUQUINA,9,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2017-09-22T00:00:00,6,2017,2606.5,11400.0,0.0,35,EL OREJANO,2017,158890,10,49,Tapón disparo,68126.9,34000.0,YPF.Nq.EOr-104(h),7266.375,SHALE,293.76,NO CONVENCIONAL,2017-10-19T00:00:00,9,NEUQUINA,9,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2017-08-26T00:00:00,6,2017,2631.5,11454.0,0.0,34,EL OREJANO,2017,158891,9,50,Tapón disparo,62480.3,34000.0,YPF.Nq.EOr-105(h),7070.22,SHALE,261.45,NO CONVENCIONAL,2017-09-16T00:00:00,8,NEUQUINA,8,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2017-08-25T00:00:00,6,2017,2412.5,11500.0,0.0,31,EL OREJANO,2017,158752,9,51,Tapón disparo,43557.5,34000.0,YPF.Nq.EOr-106(h),5514.3,SHALE,906.075,NO CONVENCIONAL,2017-09-20T00:00:00,8,NEUQUINA,8,2017,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2015-03-26T00:00:00,6,2015,0.0,8915.0,0.0,5,EL OREJANO,2015,154185,4,52,Tapón disparo,5578.4,28000.0,YPF.Nq.EOr-11,248.49,SHALE,869.13,NO CONVENCIONAL,2015-04-03T00:00:00,3,NEUQUINA,3,2015,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2015-04-06T00:00:00,6,2015,0.0,10298.0,0.0,5,EL OREJANO,2015,154186,4,53,Tapón disparo,6023.1,28000.0,YPF.Nq.EOr-12(d),128.385,SHALE,1047.96,NO CONVENCIONAL,2015-04-09T00:00:00,4,NEUQUINA,4,2015,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2018-08-06T00:00:00,6,2018,1424.5,11000.0,0.0,18,EL OREJANO,2018,159834,8,54,Tapón disparo,26244.0,34000.0,YPF.Nq.EOr-157(h),3131.19,SHALE,528.93,NO CONVENCIONAL,2018-08-18T00:00:00,8,NEUQUINA,8,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2018-07-24T00:00:00,6,2018,1424.3,11463.0,0.0,18,EL OREJANO,2018,159835,8,55,Tapón disparo,27100.0,34000.0,YPF.Nq.EOr-158(h),3138.345,SHALE,538.065,NO CONVENCIONAL,2018-08-28T00:00:00,7,NEUQUINA,7,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2018-08-01T00:00:00,6,2018,1424.5,11497.0,0.0,18,EL OREJANO,2018,159836,8,56,Tapón disparo,26612.0,34000.0,YPF.Nq.EOr-160(h),3121.515,SHALE,523.485,NO CONVENCIONAL,2018-08-15T00:00:00,8,NEUQUINA,8,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
2018-04-04T00:00:00,6,2018,1912.3,11151.0,0.0,24,EL OREJANO,2018,159705,5,57,Tapón disparo,35165.4,32000.0,YPF.Nq.EOr-161(h),4324.5,SHALE,709.47,NO CONVENCIONAL,2018-05-01T00:00:00,4,NEUQUINA,4,2018,2019,YPF S.A.,2019-06-27T13:46:21,vaca muerta,EL OREJANO,False,
