Órgão superior,Órgão subordinado,Unidade administrativa,contract_no,Número do ICJ,Número do processo,Enquadramento do Processo,supplier,CNPJ/CPF,object,legal_basis,start,end,contract_value_raw,Saldo bruto do contrato,Saldo inativo,status,Número dos aditivos,service_line,currency,value
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514483240,,7003154647.0,LICITAÇÃO,HALLIBURTON ENERGY SERVICES INC.,EXTERNO,PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de item complementa,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-23,2025-12-15,"US$ 71.291,03","US$ 0,00","US$ 71.291,03",Concluído,,Other,USD,71291.03
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514483559,,7003154647.0,LICITAÇÃO,HALLIBURTON ENERGY SERVICES INC.,EXTERNO,PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-23,2025-12-15,"US$ 35.645,52","US$ 0,00","US$ 35.645,52",Concluído,,Other,USD,35645.52
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514486256,,7003154647.0,LICITAÇÃO,HALLIBURTON ENERGY SERVICES INC.,EXTERNO,Permanecem inalteradas as demais condicoes contratuais DREJ   JESSICA FARIASSUPRIMENTOS/GCB/GCBI/CBI III,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-24,2025-12-15,"US$ 35.645,52","US$ 0,00","US$ 35.645,52",Concluído,,Other,USD,35645.52
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514488735,,7003024762.0,LICITAÇÃO,HALLIBURTON FAR EAST PTE LTD.,EXTERNO,PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-25,2025-12-15,"US$ 151.085,42","US$ 0,00","US$ 0,00",Concluído,,Other,USD,151085.42
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514488785,,7003024762.0,LICITAÇÃO,HALLIBURTON FAR EAST PTE LTD.,EXTERNO,PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-25,2025-12-15,"US$ 151.085,42","US$ 0,00","US$ 0,00",Concluído,,Other,USD,151085.42
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4514488872,,7003024762.0,LICITAÇÃO,HALLIBURTON FAR EAST PTE LTD.,EXTERNO,PEDIDO DE REAPROVEITAMENTO PARA FINS DE PAGAMENTOAutorizado por  Jose Fadel Gracioso (U3B7)CENTRO DE CUSTO DESEMBARACO  E544SOAE14Este Pedido de Compras tem como objetivo a criacao de itenscomplementa,"Licitação, Lei 13.303, Art. 28, CAPUT",2025-07-25,2025-12-15,"US$ 151.085,42","US$ 0,00","US$ 0,00",Concluído,,Other,USD,151085.42
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600001090,BDC .6002134034,,INEXIGIBIL,HALLIBURTON SERVICOS LTDA - DIVISAO,29504214002988,INFORMÁTICA - LICENÇAS USO DE SOFTWARE,"Inexigibilidade, Dec 2745, 2.3, CAPUT - Inviabilidade fática ou jurídica de competição.",2003-12-23,2053-12-22,"R$ 1.610.902,90","R$ 1.610.902,90","R$ 0,00",Concluído,,Other,BRL,1610902.9
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600421771,2050.0082628.13.2,,CONVITE,HALLIBURTON SERVICOS LTDA,29504214000187,SERVIÇOS DE INSTALAÇÃO DE SISTEMAS DE COMPLETAÇÃO PARA INSTALAÇÃO DE ANM A CABO (SCIAC),"Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.",2014-01-10,2023-01-30,"R$ 522.308,00","R$ 0,00","R$ 388.828,00",Concluído,002-001-005-004-003,Other,BRL,522308.0
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600424477,2050.0085464.13.2,,CONVITE,HALLIBURTON SERVICOS LTDA,29504214000187,FORNECIMENTO DE PRODUTOS QUÍMICOS (TBN 151),"Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.",2016-02-22,2024-02-21,"R$ 8.010.625,64","R$ 0,00","R$ 140.493,92",Concluído,850-002-003-004-005-080-006-007-008-009,Fluids & Chemicals,BRL,8010625.64
MINISTÉRIO DE MINAS E ENERGIA,PETROBRAS,910816 - Petróleo Brasileiro S.A.,4600424483,2050.0085464.13.2,,CONVITE,HALLIBURTON SERVICOS LTDA,29504214000187,FORNECIMENTO DE PRODUTOS QUÍMICOS (TBN 151),"Convite, Dec 2745, 3.1, C - Mínimo de 3 fornecedores, do ramo pertinente ao objeto, cadastrados ou não.",2016-02-22,2024-02-21,"US$ 11.984.760,43","US$ 0,00","US$ 8.158.533,46",Concluído,003-850-005-006-007-008-080-009,Fluids & Chemicals,USD,11984760.43
