month,active_hal_contracts,hal_usd_value_active,hal_brl_value_active,csb_incidents_total,csb_sso_count,csb_kick_count,csb_loss_control,fatalities,serious_injuries
2013-01,1,0.0,1610902.9,1,1,1,0,0,0
2013-02,1,0.0,1610902.9,0,0,0,0,0,0
2013-03,1,0.0,1610902.9,0,0,0,0,0,0
2013-04,1,0.0,1610902.9,0,0,0,0,0,0
2013-05,1,0.0,1610902.9,0,0,0,0,0,0
2013-06,1,0.0,1610902.9,0,0,0,0,0,0
2013-07,1,0.0,1610902.9,1,1,1,0,0,0
2013-08,1,0.0,1610902.9,0,0,0,0,0,0
2013-09,1,0.0,1610902.9,1,1,1,0,0,0
2013-10,1,0.0,1610902.9,2,2,2,0,0,0
2013-11,1,0.0,1610902.9,0,0,0,0,0,0
2013-12,1,0.0,1610902.9,0,0,0,0,0,0
2014-01,2,0.0,2133210.9,2,2,2,0,0,0
2014-02,2,0.0,2133210.9,0,0,0,0,0,0
2014-03,2,0.0,2133210.9,2,2,1,0,0,0
2014-04,2,0.0,2133210.9,1,1,1,0,0,0
2014-05,2,0.0,2133210.9,0,0,0,0,0,0
2014-06,2,0.0,2133210.9,0,0,0,0,0,0
2014-07,2,0.0,2133210.9,2,2,2,0,0,0
2014-08,2,0.0,2133210.9,1,1,1,0,0,0
2014-09,2,0.0,2133210.9,0,0,0,0,0,0
2014-10,2,0.0,2133210.9,0,0,0,0,0,0
2014-11,2,0.0,2133210.9,3,3,3,0,0,0
2014-12,2,0.0,2133210.9,0,0,0,0,0,0
2015-01,2,0.0,2133210.9,0,0,0,0,0,0
2015-02,2,0.0,2133210.9,4,4,4,0,0,0
2015-03,2,0.0,2133210.9,2,2,2,0,0,0
2015-04,2,0.0,2133210.9,3,3,3,0,0,0
2015-05,2,0.0,2133210.9,0,0,0,0,0,0
2015-06,2,0.0,2133210.9,4,4,4,0,0,0
2015-07,2,0.0,2133210.9,1,1,1,0,0,0
2015-08,2,0.0,2133210.9,3,3,3,0,0,0
2015-09,2,0.0,2133210.9,1,1,1,0,0,0
2015-10,2,0.0,2133210.9,1,1,1,0,0,0
2015-11,2,0.0,2133210.9,2,2,2,0,0,0
2015-12,2,0.0,2133210.9,0,0,0,0,0,0
2016-01,2,0.0,2133210.9,1,1,1,0,0,0
2016-02,6,16368938.79,187278405.56,6,6,4,0,0,0
2016-03,6,16368938.79,187278405.56,0,0,0,0,0,0
2016-04,6,16368938.79,187278405.56,1,1,1,0,0,0
2016-05,6,16368938.79,187278405.56,1,1,1,0,0,0
2016-06,6,16368938.79,187278405.56,5,5,3,0,0,0
2016-07,6,16368938.79,187278405.56,3,3,1,0,0,0
2016-08,6,16368938.79,187278405.56,1,1,1,0,0,0
2016-09,6,16368938.79,187278405.56,2,2,0,0,0,0
2016-10,6,16368938.79,187278405.56,1,1,1,0,0,0
2016-11,6,16368938.79,187278405.56,0,0,0,0,0,0
2016-12,6,16368938.79,187278405.56,2,2,0,0,0,0
2017-01,6,16368938.79,187278405.56,1,0,1,0,0,0
2017-02,6,16368938.79,187278405.56,7,7,3,0,0,0
2017-03,6,16368938.79,187278405.56,0,0,0,0,0,0
2017-04,6,16368938.79,187278405.56,2,2,0,0,0,0
2017-05,6,16368938.79,187278405.56,6,6,1,0,0,0
2017-06,6,16368938.79,187278405.56,1,1,0,0,0,0
2017-07,6,16368938.79,187278405.56,0,0,0,0,0,0
2017-08,6,16368938.79,187278405.56,3,3,1,0,0,0
2017-09,6,16368938.79,187278405.56,1,1,1,0,0,0
