comentarios_de_geometria,modificacion_planos_base,alta_planos_base,participacion_en_consorcio,codigo_de_sesco,empresa_informante,nombre_de_area,empresa_operadora_sesco,tejas_match,tejas_found_in
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2023-01-31T15:49:27,2012-01-26T15:12:12,<br> ALIANZA PETROLERA ARGENTINA S.A.: 100 %,ELM,TECPETROL S.A.,ESTANCIA LA MARIPOSA,ALIANZA PETROLERA ARGENTINA S.A.,False,
,2026-01-09T16:46:59,2012-01-26T14:35:43,<br> TECPETROL S.A.: 100 %,BAS,TECPETROL S.A.,LOS BASTOS,TECPETROL S.A.,False,
,2026-01-09T16:46:59,2012-01-26T14:31:58,<br> TECPETROL S.A.: 100 %,FOR,TECPETROL S.A.,FORTIN DE PIEDRA ,TECPETROL S.A.,False,
,2026-01-09T16:46:59,2012-01-26T14:39:54,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 5 %<br> PAMPA ENERGIA S.A.: 15 %<br> LEDESMA S.A.A.I.: 4 %<br> TECPETROL S.A.: 23 %<br> YPF S.A.: 53 %,ANT,TECPETROL S.A.,SAN ANTONIO SUR,TECPETROL S.A.,False,
,2026-01-09T16:46:59,2012-01-26T14:39:54,<br> COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.: 5 %<br> YPF S.A.: 53 %<br> TECPETROL S.A.: 23 %<br> PAMPA ENERGIA S.A.: 15 %<br> LEDESMA S.A.A.I.: 4 %,AGU,TECPETROL S.A.,AGUARAGÜE,TECPETROL S.A.,False,
,2026-01-09T16:46:59,2012-01-26T14:20:00,<br> YPF S.A.: 30.00 %<br> TECPETROL S.A.: 70.00 %,SAL,TECPETROL S.A.,AGUA SALADA,TECPETROL S.A.,False,
,2015-09-18T15:16:24,2012-01-31T10:38:19,<br> PETROFARO S.A.: 100 %,FAR,PETROFARO S.A.,FARO VIRGENES,PETROFARO S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2018-01-24T14:43:45,2012-01-31T15:35:43,<br> Petrolera Aconcagua Energia S.A.: 50 %<br> CROWN POINT ENERGIA S.A.: 50 %,CHA,CHAÑARES ENERGIA S.A.,CHAÑARES HERRADOS,Petrolera Aconcagua Energia S.A.,False,
,2024-05-30T11:57:54,2012-05-15T14:52:54,<br> OILSTONE ENERGIA S.A.: 100 %,CBA,OILSTONE ENERGIA S.A.,CERRO BANDERA,OILSTONE ENERGIA S.A.,False,
,2026-01-15T09:29:50,2012-08-03T11:25:29,<br> PAN AMERICAN ENERGY SL: 25.00 %<br> COLHUE HUAPI S.A.: 75.00 %,ECH,COLHUE HUAPI S.A.,ESTANCIA LA ESCONDIDA,COLHUE HUAPI S.A.,False,
,2022-10-11T16:54:44,2012-12-21T11:45:52,<br> PETROQUIMICA COMODORO RIVADAVIA S.A.: 100 %,ESO,PETROQUIMICA COMODORO RIVADAVIA S.A.,EL SOSNEADO,PETROQUIMICA COMODORO RIVADAVIA S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-01-30T12:37:57,2012-12-21T15:38:13,<br> PETROLERA EL TREBOL S.A.: 100 %,ATA,PETROLERA EL TREBOL S.A.,ATAMISQUI,PETROLEOS SUDAMERICANOS S.A.,False,
,2024-01-30T12:37:57,2012-12-21T15:38:13,<br> PETROLERA EL TREBOL S.A.: 100 %,TUP,PETROLERA EL TREBOL S.A.,REFUGIO TUPUNGATO,PETROLERA EL TREBOL S.A.,False,
,2022-10-11T16:54:44,2012-12-28T10:39:22,<br> PAMPETROL S.A.P.E.M: 20 %<br> PETROQUIMICA COMODORO RIVADAVIA S.A.: 80 %,NIT,PETROQUIMICA COMODORO RIVADAVIA S.A.,MEDANITO,PETROQUIMICA COMODORO RIVADAVIA S.A.,False,
,2018-01-24T14:51:53,2016-01-19T15:16:03,<br> MEDANITO S.A.: 100 %,MED,MEDANITO S.A.,MEDIANERA,MEDANITO S.A.,False,
,2018-02-01T12:26:17,2013-01-17T16:15:41,<br> CHEVRON ARGENTINA S.R.L.: 100 %,HUA,CHEVRON ARGENTINA S.R.L.,EL TRAPIAL - CURAMCHED,CHEVRON ARGENTINA S.R.L.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> CGC ENERGIA SAU: 30 %<br> PETROLEOS SUDAMERICANOS S.A.: 70 %,TUN,YPF S.A.,RIO TUNUYAN,PETROLEOS SUDAMERICANOS S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> PETROLEOS SUDAMERICANOS S.A.: 100 %,BAR,YPF S.A.,BARRANCAS,PETROLEOS SUDAMERICANOS S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> PETROLEOS SUDAMERICANOS S.A.: 100 %,CEF,YPF S.A.,CEFERINO,PETROLEOS SUDAMERICANOS S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> PETROLEOS SUDAMERICANOS S.A.: 100 %,VIZ,YPF S.A.,VIZCACHERAS,PETROLEOS SUDAMERICANOS S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> PETROLEOS SUDAMERICANOS S.A.: 100 %,LAV,YPF S.A.,LA VENTANA,PETROLEOS SUDAMERICANOS S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> Clear Petroleum S.A.: 100 %,ESC,YPF S.A.,CAÑADON DE LA ESCONDIDA - LAS HERAS,Clear Petroleum S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> PATAGONIA RESOURCES S.A. : 100 %,BYK,YPF S.A.,BARRANCA YANKOWSKY,PATAGONIA RESOURCES S.A. ,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> YPF S.A.: 100 %,CLM,YPF S.A.,CAÑADON LEON - MESETA ESPINOSA,QUINTANA E&P ARGENTINA S.R.L.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> PATAGONIA RESOURCES S.A. : 100 %,PER,YPF S.A.,LOS PERALES - LAS MESETAS,PATAGONIA RESOURCES S.A. ,False,
,,2015-03-09T15:45:43,<br> PETRO AP S.A.: 80 %<br> RECURSOS Y ENERGIA FORMOSA SOCIEDAD ANONIMA: 20 %,SMA,PETRO AP S.A.,SELVA MARIA,PETRO AP S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> ROCH PROYECTOS SAU: 100 %,CUY,YPF S.A.,EL GUADAL - LOMAS DEL CUY,ROCH S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> PECOM SERVICIOS ENERGIA SAU: 50 %<br> ENAP SIPETROL ARGENTINA S.A.: 50 %,CCC,YPF S.A.,CAMPAMENTO CENTRAL - CAÑADON PERDIDO,PECOM SERVICIOS ENERGIA SAU,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> ROCH PROYECTOS SAU: 100 %,CPG,YPF S.A.,CERRO PIEDRA - CERRO GUADAL NORTE,ROCH S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> PATAGONIA RESOURCES S.A. : 100 %,MON,YPF S.A.,LOS MONOS,PATAGONIA RESOURCES S.A. ,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2023-12-27T10:27:37,2013-01-28T16:58:48,<br> PECOM SERVICIOS ENERGIA SAU: 100 %,SCA,YPF S.A.,ESCALANTE - EL TREBOL,PECOM SERVICIOS ENERGIA SAU,False,
,2025-12-15T16:27:27,2013-01-28T16:58:48,<br> YPF S.A.: 100 %,ALI,YPF S.A.,RESTINGA ALI,YPF S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> BREST S.A. DE SERVICIOS PETROLEROS: 100 %,PTC,YPF S.A.,PICO TRUNCADO - EL CORDON,BREST S.A. DE SERVICIOS PETROLEROS,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> ROCH PROYECTOS SAU: 100 %,YAT,YPF S.A.,CAÑADON YATEL,ROCH S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2025-12-15T16:27:27,2013-01-28T16:58:48,<br> AZRUGE S.A.: 100 %,CVA,YPF S.A.,CAÑADON VASCO,AZRUGE S.A.,False,
,2025-12-15T16:27:27,2013-01-28T16:58:48,<br> YPF S.A.: 100 %,BEH,YPF S.A.,MANANTIALES BEHR,YPF S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> INGENIERIA SIMA S.A.: 30 %<br> BENTIA ENERGY S.A.: 70 %,CBY,YPF S.A.,SEÑAL CERRO BAYO,BENTIA ENERGY S.A.,False,
,2024-12-27T17:28:29,2013-01-28T16:58:48,<br> COMPAÑIA DE DESARROLLO NO CONVENCIONAL S.R.L.: 7 %<br> YPF S.A.: 93 %,CSN,YPF S.A.,CHIHUIDO DE LA SIERRA NEGRA,YPF S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> BENTIA ENERGY S.A.: 100 %,OCT,YPF S.A.,OCTOGONO,BENTIA ENERGY S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> BENTIA ENERGY S.A.: 70 %<br> INGENIERIA SIMA S.A.: 30 %,DRU,YPF S.A.,DON RUIZ,BENTIA ENERGY S.A.,False,
,2025-12-15T16:27:27,2013-01-28T16:58:48,<br> YPF S.A.: 100 %,SPR,YPF S.A.,SEÑAL PICADA - PUNTA BARDA,YPF S.A.,False,
,2025-12-15T16:27:27,2013-01-28T16:58:48,<br> YPF S.A.: 100 %,PBN,YPF S.A.,PASO DE LAS BARDAS NORTE,YPF S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2024-12-27T17:28:29,2013-01-28T16:58:48,<br> QUINTANA E&P ARGENTINA S.R.L.: 10 %<br> COMPAÑIA TSB S.A: 10 %<br> QUINTANA ENERGY INVESTMENTS S.A.: 79 %<br> GAS STORAGE AND MIDSTREAM SERVICES S.A.: 1 %,CAM,YPF S.A.,CAÑADON AMARILLO,QUINTANA E&P ARGENTINA S.R.L.,False,
