empresa,observaciones,participacion,fechaasignacion,areapermisoconcesion,codigodesesco,tejas_match,tejas_found_in
Bridas S.A.P.I.C.,,50.0,1991-10-25 00:00:00-02,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
PEREZ COMPANC S.A.,,50.0,1991-10-25 00:00:00-02,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
CORPORACION FINANCIERA INTERNACIONAL ,,100.0,1992-07-22 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
PETROBRAS ARGENTINA S.A.,,100.0,2006-01-01 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
PROVINCIA LA PAMPA,Finalizó la concesión y no se otorgó prórroga.,100.0,2016-10-28 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
PAMPETROL S.A.P.E.M,Asignada por Ley Provincial 2890,100.0,2016-10-29 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
,Área finalizada o revertida a la provincia,100.0,2016-10-31 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE ,VEI,False,
PAMPETROL S.A.P.E.M,Asignada por Ley Provincial 2890,100.0,2016-10-29 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE LP,VELP,False,
PETROQUIMICA COMODORO RIVADAVIA S.A.,,80.0,2017-10-29 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE LP,VELP,False,
PAMPETROL S.A.P.E.M,,20.0,2017-10-29 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE LP,VELP,False,
PETROBRAS ARGENTINA S.A.,,100.0,2016-10-29 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE RN,VERN,False,
PETROLERA ENTRE LOMAS S.A.,,100.0,2018-04-04 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE RN,VERN,False,
Vista Oil & Gas Argentina SA,"Cambio de nombre, antes Petrolera Entre Lomas SA",100.0,2018-07-17 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE RN,VERN,False,
VISTA OIL & GAS ARGENTINA SAU,"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",100.0,2019-07-02 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE RN,VERN,False,
VISTA ENERGY ARGENTINA SAU,Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,100.0,2022-05-01 00:00:00-03,25 DE MAYO - MEDANITO SUD ESTE RN,VERN,False,
O&G DEVELOPMENTS LTD S.A.,,22.5,2006-01-01 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,,52.0,2006-01-01 00:00:00-03,ACAMBUCO,ACA,False,
APCO ARGENTINA INC.,,1.5,2006-01-01 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,,22.5,2006-01-01 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION,,1.5,2006-01-01 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,52.0,2019-02-01 00:00:00-03,ACAMBUCO,ACA,False,
PLUSPETROL S.A.,,25.0,2000-10-09 00:00:00-03,ANTICLINAL CAMPAMENTO,ANC,False,
APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA),CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,1.5,2019-02-01 00:00:00-03,ACAMBUCO,ACA,False,
O&G DEVELOPMENTS LTD S.A.,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,22.5,2019-02-01 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,1.5,2019-02-01 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,22.5,2019-02-01 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,CAMBIO DE NOMBRE DE O6G DEVELOPMENT LTD SA POR SHELL ARGENTINA SA,22.5,2019-03-19 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,CAMBIO DE NOMBRE DE O6G DEVELOPMENT LTD SA POR SHELL ARGENTINA SA,52.0,2019-03-19 00:00:00-03,ACAMBUCO,ACA,False,
SHELL ARGENTINA S.A.,CAMBIO DE NOMBRE DE O6G DEVELOPMENT LTD SA POR SHELL ARGENTINA SA,22.5,2019-03-19 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),CAMBIO DE NOMBRE DE O6G DEVELOPMENT LTD SA POR SHELL ARGENTINA SA,1.5,2019-03-19 00:00:00-03,ACAMBUCO,ACA,False,
APCO ARGENTINA INC.,CAMBIO DE NOMBRE DE O6G DEVELOPMENT LTD SA POR SHELL ARGENTINA SA,1.5,2019-03-19 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",52.0,2019-07-02 00:00:00-03,ACAMBUCO,ACA,False,
VISTA OIL & GAS ARGENTINA SAU,"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",1.5,2019-07-02 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",22.5,2019-07-02 00:00:00-03,ACAMBUCO,ACA,False,
SHELL ARGENTINA S.A.,"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",22.5,2019-07-02 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),"FUSIÓN DE APCO ARGENTINA INC., APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA) Y Vista Oil & Gas Argentina SA EN VISTA OIL & GAS ARGENTINA SAU",1.5,2019-07-02 00:00:00-03,ACAMBUCO,ACA,False,
O&G DEVELOPMENTS LTD S.A.,ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO,22.5,2021-12-31 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO,22.5,2021-12-31 00:00:00-03,ACAMBUCO,ACA,False,
APCO ARGENTINA INC.,ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO,1.5,2021-12-31 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO,1.5,2021-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO,52.0,2021-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,52.0,2022-05-01 00:00:00-03,ACAMBUCO,ACA,False,
VISTA ENERGY ARGENTINA SAU,Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,1.5,2022-05-01 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,22.5,2022-05-01 00:00:00-03,ACAMBUCO,ACA,False,
SHELL ARGENTINA S.A.,Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,22.5,2022-05-01 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),Cambio de Razón Social de Vista Oil & Gas Argentina SAU - Fecha de Inscripción IGJ: 09/05/2022,1.5,2022-05-01 00:00:00-03,ACAMBUCO,ACA,False,
APCO ARGENTINA INC.,"ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO
",1.5,2022-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,"ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO
",52.0,2022-12-31 00:00:00-03,ACAMBUCO,ACA,False,
NORTHWEST ARGENTINA CORPORATION (SUCURSAL ARGENTINA),"ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO
",1.5,2022-12-31 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,"ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO
",22.5,2022-12-31 00:00:00-03,ACAMBUCO,ACA,False,
O&G DEVELOPMENTS LTD S.A.,"ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO
",22.5,2022-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY SL,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",52.0,2024-12-31 00:00:00-03,ACAMBUCO,ACA,False,
VISTA OIL & GAS ARGENTINA SAU,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",1.5,2024-12-31 00:00:00-03,ACAMBUCO,ACA,False,
SHELL ARGENTINA S.A.,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",22.5,2024-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PLUSPETROL S.A.,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",1.5,2024-12-31 00:00:00-03,ACAMBUCO,ACA,False,
YPF S.A.,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",22.5,2024-12-31 00:00:00-03,ACAMBUCO,ACA,False,
PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,,100.0,1999-06-02 00:00:00-03,"ACAMBUCO ""B""",X004,False,
PROVINCIA SALTA (En Revisión),,100.0,2002-06-03 00:00:00-03,"ACAMBUCO ""B""",X004,False,
PLUSPETROL S.A.,,100.0,1991-04-18 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
PLUSPETROL S.A.,,100.0,1997-01-27 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
JCR S.A.,,25.0,2008-07-04 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
HOMAQ S.A.,,25.0,2008-07-04 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
PETROLEOS SUDAMERICANOS S.A.,,50.0,2008-07-04 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
MAXIPETROL - PETROLEROS DE OCCIDENTE S.A.,,100.0,2015-10-08 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
,Área finalizada o revertida a la provincia,100.0,2018-01-12 00:00:00-03,AGUA BLANCA (CNO-1),AGB,False,
TRITON ARGENTINA INC.,,100.0,1992-01-22 00:00:00-02,AGUA BOTADA,BOT,False,
C.A.D.I.P.S.A.,,100.0,1995-12-01 00:00:00-03,AGUA BOTADA,BOT,False,
VINTAGE OIL ARGENTINA  S.A.,,100.0,2002-01-01 00:00:00-03,AGUA BOTADA,BOT,False,
"OCCIDENTAL ARGENTINA EXPLORATION AND PRODUCTION, INC.",,100.0,2006-08-18 00:00:00-03,AGUA BOTADA,BOT,False,
"SINOPEC ARGENTINA EXPLORATION AND PRODUCTION, INC.",,100.0,2011-02-28 00:00:00-03,AGUA BOTADA,BOT,False,
PROVINCIA MENDOZA,,100.0,2011-12-31 00:00:00-03,AGUA BOTADA,BOT,False,
EMESA - ROCH S.A. - AREA AGUA BOTADA UTE,,100.0,2014-08-20 00:00:00-03,AGUA BOTADA,BOT,False,
ROCH S.A.,ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO,88.0,2021-12-31 00:00:00-03,AGUA BOTADA,BOT,False,
E.M.E.S.A,ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO,12.0,2021-12-31 00:00:00-03,AGUA BOTADA,BOT,False,
CGC ENERGIA SAU,Fecha inscripción empresa (CGC Energía SAU) en la IGJ: 26/09/22,100.0,2022-10-01 00:00:00-03,AGUA BOTADA,BOT,False,
ROCH S.A.,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",88.0,2024-12-31 00:00:00-03,AGUA BOTADA,BOT,False,
PROVINCIA MENDOZA,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",12.0,2024-12-31 00:00:00-03,AGUA BOTADA,BOT,False,
PLUSPETROL S.A.,,100.0,1990-09-06 00:00:00-03,AGUADA BAGUALES,BAG,False,
PLUSPETROL S.A.,,100.0,1997-01-27 00:00:00-03,AGUADA BAGUALES,BAG,False,
GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),Decreto 266/18,100.0,2018-03-27 00:00:00-03,AGUADA BAGUALES,BAG,False,
OILSTONE ENERGIA S.A.,Decreto Provincia de Neuquen DECTO-2022-119-E-NEU-GPN,100.0,2022-01-21 00:00:00-03,AGUADA BAGUALES,BAG,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,100.0,2010-06-29 00:00:00-03,AGUADA CÁNEPA,AGCO,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,10.0,2015-07-24 00:00:00-03,AGUADA CÁNEPA,AGCO,False,
PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,,90.0,2015-07-24 00:00:00-03,AGUADA CÁNEPA,AGCO,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,10.0,2019-02-01 00:00:00-03,AGUADA CÁNEPA,AGCO,False,
PAN AMERICAN ENERGY SL,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,90.0,2019-02-01 00:00:00-03,AGUADA CÁNEPA,AGCO,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,10.0,2011-02-27 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
TOTAL AUSTRAL S.A.,,42.5,2011-02-27 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
ROVELLA ENERGIA S.A.,,5.0,2011-02-27 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
YPF S.A.,,42.5,2011-02-27 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
TOTAL AUSTRAL S.A.,Dec. 1178/17,25.0,2017-07-17 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
YPF S.A.,Dec. 1178/17,30.0,2017-07-17 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,Dec. 1178/17,45.0,2017-07-17 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
PAN AMERICAN ENERGY SL,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,45.0,2019-02-01 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
YPF S.A.,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,30.0,2019-02-01 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
TOTAL AUSTRAL S.A.,CAMBIO DE NOMBRE DE PAN AMERCIAN ENERGY SL,25.0,2019-02-01 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
YPF S.A.,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",40.0,2024-12-31 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
PAN AMERICAN ENERGY SL,"ACTUALIZACIÓN SEGÚN P23 - CONFORMACIÓN DE CONSORCIO
",60.0,2024-12-31 00:00:00-03,AGUADA DE CASTRO  ,AGCA,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,10.0,2018-04-26 00:00:00-03,AGUADA DE CASTRO OESTE I,Q022,False,
PETROLERA EL TREBOL S.A.,,90.0,2018-04-26 00:00:00-03,AGUADA DE CASTRO OESTE I,Q022,False,
PAN AMERICAN ENERGY SL,DECTO-2023-1943-E-NEU-GPN,90.0,2023-10-01 00:00:00-03,AGUADA DE CASTRO OESTE I,Q022,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,DECTO-2023-1943-E-NEU-GPN,10.0,2023-10-01 00:00:00-03,AGUADA DE CASTRO OESTE I,Q022,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,10.0,2018-04-26 00:00:00-03,AGUADA DE CASTRO OESTE II,Q025,False,
PETROLERA EL TREBOL S.A.,,90.0,2018-04-26 00:00:00-03,AGUADA DE CASTRO OESTE II,Q025,False,
KILWER S.A.,,72.0,2006-01-01 00:00:00-03,MATA MORA,Z057,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,DECTO-2023-1943-E-NEU-GPN,10.0,2023-10-01 00:00:00-03,AGUADA DE CASTRO OESTE II,Q025,False,
PAN AMERICAN ENERGY SL,DECTO-2023-1943-E-NEU-GPN,90.0,2023-10-01 00:00:00-03,AGUADA DE CASTRO OESTE II,Q025,False,
PETROURUGUAY S.A.,,20.0,2006-01-01 00:00:00-03,AGUADA DE LA ARENA,AGA,False,
PETROBRAS ARGENTINA S.A.,,80.0,2006-01-01 00:00:00-03,AGUADA DE LA ARENA,AGA,False,
PETROURUGUAY S.A.,,20.0,2016-10-14 00:00:00-03,AGUADA DE LA ARENA,AGA,False,
YPF S.A.,,80.0,2016-10-14 00:00:00-03,AGUADA DE LA ARENA,AGA,False,
YPF S.A.,ACTUALIZACION SEGUN P23 - CONFORMACIÓN DE CONSORCIO,100.0,2018-12-31 00:00:00-03,AGUADA DE LA ARENA,AGA,False,
ENARSA ENERGIA ARGENTINA S.A.,,50.0,2009-12-31 00:00:00-03,AGUADA DEL CHAÑAR,AGCH,False,
GAS Y PETROLEO DEL NEUQUEN S.A.,,50.0,2009-12-31 00:00:00-03,AGUADA DEL CHAÑAR,AGCH,False,
