comentarios_de_geometria,modificacion_planos_base,alta_planos_base,participacion_en_consorcio,codigo_de_sesco,empresa_informante,nombre_de_area,geojson,empresa_operadora_sesco,tejas_match,tejas_found_in
,2016-01-25T15:13:50,2012-01-27T11:44:18,<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %<br> ESQUISTOS DEL SUR SA: 23.76 %<br> ARGENTA ENERGIA S.A.: 66.24 %,Z041,ARGENTA ENERGIA S.A.,COVUNCO NORTE SUR,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.969970703125,-38.7813110351562],[-69.9951171875,-38.793701171875],[-70.0059814453125,-38.8018188476562],[-69.8541870117188,-38.802978515625],[-69.8546752929688,-38.8493041992188],[-69.9589233398438,-38.8485107421875],[-69.985595703125,-38.8264770507812],[-70.0488891601562,-38.825927734375],[-70.080078125,-38.847412109375],[-70.093505859375,-38.8472900390625],[-70.0924072265625,-38.7850952148438],[-70.0543823242188,-38.7855224609375],[-70.0134887695312,-38.7628784179688],[-69.969970703125,-38.7813110351562]]],[[[-69.7117919921875,-38.6947021484375],[-69.7130126953125,-38.8153076171875],[-69.7714233398438,-38.8150024414062],[-69.7711791992188,-38.7957763671875],[-69.8284912109375,-38.79541015625],[-69.8283081054688,-38.7601928710938],[-69.8662109375,-38.7601928710938],[-69.8663940429688,-38.777587890625],[-69.9586791992188,-38.7769165039062],[-69.9575805664062,-38.6929931640625],[-69.7117919921875,-38.6947021484375]]]]}",ARGENTA ENERGIA S.A.,False,
,2016-01-04T10:27:35,2012-12-21T11:54:56,<br> PAMPETROL S.A.P.E.M: 50 %<br> PETROQUIMICA COMODORO RIVADAVIA S.A.: 50 %,GAV,PETROQUIMICA COMODORO RIVADAVIA S.A.,GOBERNADOR AYALA V,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.73603056,-37.7645972],[-67.73322778,-37.7645667],[-67.75471111,-37.7278167],[-67.75596944,-37.7069861],[-67.75360556,-37.7069611],[-67.75361111,-37.7066556],[-67.51327222,-37.7038694],[-67.51291389,-37.7217861],[-67.510925,-37.8209556],[-67.72233889,-37.8190778],[-67.72045556,-37.8136139],[-67.7249,-37.7866167],[-67.73220278,-37.7776111],[-67.73603056,-37.7645972]]]]}",PETROQUIMICA COMODORO RIVADAVIA S.A.,False,
"La geometría del área debe coinsiderarse provisoria, dado que la empresa operadora actual aún no ha informado los datos",2016-01-04T10:27:35,2012-12-28T12:32:36,<br> PETROMINERA CHUBUT S.E.: 100 %,Z018,PETROQUIMICA COMODORO RIVADAVIA S.A.,CGSJ-5/A COLHUE HUAPI,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.6012039,-45.2622087],[-67.59521241,-45.5051231],[-68.18573368,-45.5108376],[-68.22225405,-45.5329688],[-68.67211389,-45.5351472],[-68.67184167,-45.5816806],[-68.94896058,-45.5821412],[-68.94892303,-45.6235287],[-68.96174605,-45.6235342],[-68.9617312,-45.6446244],[-68.97327539,-45.6446274],[-68.97326213,-45.6708828],[-69.00278233,-45.6704892],[-69.00288889,-45.5875],[-69.18741111,-45.5855472],[-69.18630741,-45.2706399],[-67.6012039,-45.2622087]]]]}",PETROMINERA CHUBUT S.E.,False,
,2016-01-25T15:13:50,2013-01-11T11:37:56,<br> ESQUISTOS DEL SUR SA: 23.76 %<br> ARGENTA ENERGIA S.A.: 66.24 %<br> GAS Y PETROLEO DEL NEUQUEN S.A.: 10.00 %,Z045,ARGENTA ENERGIA S.A.,EL CORTE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.8662084428731,-38.7602393750084],[-69.828285162317,-38.7602393750084],[-69.8285111382743,-38.7954695964976],[-69.771241368855,-38.7958541093976],[-69.7714371691316,-38.814990084837],[-69.7130356017816,-38.8153541096216],[-69.7133525901616,-38.8502777686236],[-69.8285854846331,-38.8494889416528],[-69.8292120306681,-38.9035339298526],[-69.9122114834647,-38.9035339298526],[-69.9594964784412,-38.9035339298526],[-69.9589510475073,-38.8484921632985],[-69.8547487661376,-38.8493354697252],[-69.8541965468458,-38.8030463368017],[-69.9590398672191,-38.8022130707058],[-69.9587013747215,-38.7768795668588],[-69.8664147862897,-38.7776148947374],[-69.8662084428731,-38.7602393750084]]]]}",ARGENTA ENERGIA S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> YPF S.A.: 100 %,Z013,YPF S.A.,"CCA-1 (CUENCA CAÑADON ASFALTO 1) ""GAN GAN""","{""type"":""MultiPolygon"",""coordinates"":[[[[-67.5830291899999,-41.9975128099999],[-67.567543128,-42.6793342239999],[-67.6416912569999,-42.680774083],[-67.6386484719999,-42.8101439499999],[-67.7475178569999,-42.8113867],[-67.744678783,-42.94120495],[-68.389895434,-42.946603513],[-68.392594888,-42.681329363],[-68.39412634,-42.5224274289999],[-68.301237966,-42.521940892],[-68.302916657,-42.3799266199999],[-68.433126946,-42.3805590649999],[-68.434849043,-42.232325809],[-68.312583692,-42.2319550139999],[-68.3141888659999,-41.997810683],[-67.5830291899999,-41.9975128099999]]]]}",YPF S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> YPF S.A.: 80 %<br> PETROMINERA CHUBUT S.E.: 20 %,RGGN,YPF S.A.,RIO GUENGUEL NORTE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-70.4425804219999,-45.261619348],[-70.444060678,-45.3887898739999],[-70.6476469789999,-45.3898864879999],[-70.635323596,-45.9644066079999],[-70.421882339,-45.9637801809999],[-70.422810246,-46.0000141159999],[-71.352300065,-46.000014198],[-71.343100939,-45.319746014],[-71.324674221,-45.306049489],[-71.3198432629999,-45.293425425],[-71.321982954,-45.287959138],[-71.330061655,-45.2793753289999],[-71.331235533,-45.2777531479999],[-71.338794938,-45.276504906],[-71.3420905799999,-45.2761414829999],[-71.3431371469999,-45.276135483],[-71.348172856,-45.271331383],[-71.3493667349999,-45.270321183],[-71.350722301,-45.268614256],[-71.3509536459999,-45.266243387],[-71.3452752599999,-45.265015175],[-71.342447122,-45.262383754],[-71.3422047879999,-45.261498108],[-71.341409996,-45.259871382],[-71.339475921,-45.258446976],[-71.3385010809999,-45.257995276],[-71.336430488,-45.256711555],[-71.335891722,-45.255938406],[-71.083895877,-45.2619484589999],[-70.4425804219999,-45.261619348]]]]}",YPF S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> KILWER S.A.: 10.00 %<br> YPF S.A.: 70.00 %<br> KETSAL S.A.: 10.00 %<br> ENERGIA MENDOCINA S.A.: 10.00 %,MGUE,YPF S.A.,MALARGUE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.43987399,-35.4672632579999],[-69.44012184,-35.5132285299999],[-69.4842145269999,-35.513059593],[-69.485219813,-35.6797923939999],[-69.452084434,-35.679921377],[-69.452338901,-35.724983725],[-69.571702323,-35.724475818],[-69.644645025,-35.724107155],[-69.644427348,-35.697070653],[-69.706296138,-35.696723522],[-69.8667468469999,-35.695206406],[-69.8674901209999,-35.7709049659999],[-69.8839519159999,-35.770785658],[-69.884952906,-35.8697139939999],[-69.88770256,-35.8699111729999],[-69.890228967,-35.870188222],[-69.891670663,-35.8704737899999],[-69.897592916,-35.870508661],[-69.9039174169999,-35.8703831089999],[-69.9053654859999,-35.8712481389999],[-69.9125719199999,-35.87119131],[-69.9136495079999,-35.870310736],[-69.9147156,-35.8697095489999],[-69.915421941,-35.8685312169999],[-69.91613649,-35.868238119],[-69.9172238849999,-35.8682291659999],[-69.917581309,-35.867641991],[-69.919014766,-35.8670419919999],[-69.925856763,-35.866992001],[-69.926934076,-35.8663945599999],[-69.9316177919999,-35.8663613539999],[-69.932698304,-35.8669371299999],[-69.938820022,-35.866943927],[-69.935929185,-35.424779939],[-69.8030238979999,-35.42571622],[-69.804640782,-35.587955645],[-69.716394394,-35.588492688],[-69.714941841,-35.426277953],[-69.6598840679999,-35.4266039939999],[-69.658931122,-35.309438749],[-69.439023313,-35.310437909],[-69.43987399,-35.4672632579999]]]]}",YPF S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> EQUINOR B.V. (SUCURSAL ARGENTINA): 50.00 %<br> BAJO DEL TORO I S.R.L.: 24.00 %<br> YPF S.A.: 26.00 %,BDTO,YPF S.A.,BAJO DEL TORO  ,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.025705476,-37.5798351289999],[-69.025720725,-37.615470423],[-69.136949237,-37.615396193],[-69.136885417,-37.581343717],[-69.114315817,-37.5813677099999],[-69.114296699,-37.5746382959999],[-69.098362687,-37.5746455299999],[-69.0983818569999,-37.570114141],[-69.059722554,-37.5701429109999],[-69.05979295,-37.579757209],[-69.025705476,-37.5798351289999]]]]}",YPF S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> YPF S.A.: 70.00 %<br> KILWER S.A.: 10.00 %<br> KETSAL S.A.: 10.00 %<br> ENERGIA MENDOCINA S.A.: 10.00 %,CH00,YPF S.A.,CHACHAHUEN,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.435123048,-37.319541563],[-68.249623496,-37.3185265659999],[-68.2506435139999,-37.376285444],[-68.338962166,-37.376812629],[-68.339246465,-37.346067837],[-68.4766868299999,-37.346759902],[-68.476874078,-37.319729904],[-68.567126308,-37.320094216],[-68.5675903389999,-37.2390034969999],[-68.6160481809999,-37.2391698019999],[-68.616245518,-37.2004263859999],[-68.679323556,-37.200614737],[-68.6794070349999,-37.180791874],[-68.679452403,-37.165194758],[-68.4356059469999,-37.2569385479999],[-68.435123048,-37.319541563]]]]}",YPF S.A.,False,
,2023-01-11T14:45:34,2013-01-28T17:06:21,<br> YPF S.A.: 100 %,CLMI,YPF S.A.,CERRO LAS MINAS ,"{""type"":""MultiPolygon"",""coordinates"":[[[[-69.509140851,-37.635747158],[-69.5100522279999,-37.770259692],[-69.612325299,-37.7697726389999],[-69.611219778,-37.635262488],[-69.509140851,-37.635747158]]]]}",YPF S.A.,False,
