anio,empresa,provincia,areayacimiento,idareayacimiento,cuenca,indice_tiempo,mes,produccion_gas_promedio_dia_mm3,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2009,ALIANZA PETROLERA ARGENTINA S.A.,Mendoza,BARREALES COLORADOS,BAC,NEUQUINA,2009-01,1,0.0,CALMUCO - BARREALES COLORADOS,CAL,False,
2009,ALIANZA PETROLERA ARGENTINA S.A.,Mendoza,CALMUCO,CAL,NEUQUINA,2009-01,1,0.0,CALMUCO - BARREALES COLORADOS,CAL,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,AGUADA VILLANUEVA,AVI,NEUQUINA,2009-01,1,0.0,AGUADA VILLANUEVA,AVI,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BAJO BARDA GONZALEZ,BBGO,NEUQUINA,2009-01,1,24.6097,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BARDA GONZALEZ,BGO,NEUQUINA,2009-01,1,124.8097,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,GUANACO,GUA,NEUQUINA,2009-01,1,670.8581,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,MALLIN DEL NEGRO,MDNE,NEUQUINA,2009-01,1,3.6484,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,NB,NB,NEUQUINA,2009-01,1,299.8645,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,NE,NE,NEUQUINA,2009-01,1,3.1581,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PUESTO ESPINOSA,PEP,NEUQUINA,2009-01,1,42.7226,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PUESTO ESPINOSA OESTE,PEES,NEUQUINA,2009-01,1,15.2226,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PUESTO LOPEZ,LOP,NEUQUINA,2009-01,1,17.5097,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PUESTO LOPEZ ESTE,PLOE,NEUQUINA,2009-01,1,0.2,AL NORTE DE LA DORSAL,NDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,AGUADA QUINCHAO,AQI,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BORDE COLORADO,BCD,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BORDE COLORADO ESTE,BCE,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BORDE ESPINOSO,BEP,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,BORDE ESPINOSO ESTE,BEPE,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,CERRO GRANITO,CRRG,NEUQUINA,2009-01,1,18.1839,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,CERRO LOTENA,CLT,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,EL DIVISADERO - GENERAL SAN MARTIN,DSM,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,EL MOGOTITO,LMP,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,ESTRUCTURA INTERMEDIA,ESIN,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,ESTRUCTURA INTERMEDIA NORTE,EINN,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,LOMA FARIAS,Z222,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,LOMA PEDREGOSA,LPED,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,LOMA POTRILLO,Z225,NEUQUINA,2009-01,1,0.0,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PORTEZUELOS,PZL,NEUQUINA,2009-01,1,135.529,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PORTEZUELOS NORTE,PORN,NEUQUINA,2009-01,1,4.2097,AL SUR DE LA DORSAL,SDD,False,
2009,APACHE ENERGIA ARGENTINA S.R.L.,Neuquén,PORTEZUELOS OESTE,PORO,NEUQUINA,2009-01,1,60.371,AL SUR DE LA DORSAL,SDD,False,
