anio,cuenca,concepto,cantidad_mm3,indice_tiempo,mes,tejas_match,tejas_found_in
2015,CUYANA,Tight gas,0.0,2015-04,4,False,
2015,AUSTRAL,Producción convencional,839874.898,2015-01,1,False,
2015,AUSTRAL,Shale gas,0.0,2015-01,1,False,
2015,AUSTRAL,Tight gas,3685.874,2015-01,1,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-01,1,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-01,1,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-01,1,False,
2015,CUYANA,Producción convencional,4681.4229,2015-01,1,False,
2015,CUYANA,Shale gas,0.0,2015-01,1,False,
2015,CUYANA,Tight gas,0.0,2015-01,1,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-01,1,False,
2015,DEL COLORADO,Shale gas,0.0,2015-01,1,False,
2015,DEL COLORADO,Tight gas,0.0,2015-01,1,False,
2015,GOLFO SAN JORGE,Producción convencional,469450.027678433,2015-01,1,False,
2015,GOLFO SAN JORGE,Shale gas,297.96,2015-01,1,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-01,1,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-01,1,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-01,1,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-01,1,False,
2015,MALVINAS,Producción convencional,0.0,2015-01,1,False,
2015,MALVINAS,Shale gas,0.0,2015-01,1,False,
2015,MALVINAS,Tight gas,0.0,2015-01,1,False,
2015,NEUQUINA,Producción convencional,1488477.62912,2015-01,1,False,
2015,NEUQUINA,Shale gas,83551.20875,2015-01,1,False,
2015,NEUQUINA,Tight gas,460172.98273,2015-01,1,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-01,1,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-01,1,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-01,1,False,
2015,NORESTE,Producción convencional,0.0,2015-01,1,False,
2015,NORESTE,Shale gas,0.0,2015-01,1,False,
2015,NORESTE,Tight gas,0.0,2015-01,1,False,
2015,NOROESTE,Producción convencional,245215.077,2015-01,1,False,
2015,NOROESTE,Shale gas,0.0,2015-01,1,False,
2015,NOROESTE,Tight gas,0.0,2015-01,1,False,
2015,AUSTRAL,Producción convencional,727809.134,2015-02,2,False,
2015,AUSTRAL,Shale gas,0.0,2015-02,2,False,
2015,AUSTRAL,Tight gas,2855.646,2015-02,2,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-02,2,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-02,2,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-02,2,False,
2015,CUYANA,Producción convencional,4172.86417,2015-02,2,False,
2015,CUYANA,Shale gas,0.0,2015-02,2,False,
2015,CUYANA,Tight gas,0.0,2015-02,2,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-02,2,False,
2015,DEL COLORADO,Shale gas,0.0,2015-02,2,False,
2015,DEL COLORADO,Tight gas,0.0,2015-02,2,False,
2015,GOLFO SAN JORGE,Producción convencional,428974.589262288,2015-02,2,False,
2015,GOLFO SAN JORGE,Shale gas,197.26,2015-02,2,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-02,2,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-02,2,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-02,2,False,
2015,LOS BOLSONES,Tight gas,0.0,2015-02,2,False,
2015,MALVINAS,Producción convencional,0.0,2015-02,2,False,
2015,MALVINAS,Shale gas,0.0,2015-02,2,False,
2015,MALVINAS,Tight gas,0.0,2015-02,2,False,
2015,NEUQUINA,Producción convencional,1353682.92231,2015-02,2,False,
2015,NEUQUINA,Shale gas,75594.45959,2015-02,2,False,
2015,NEUQUINA,Tight gas,416877.1294,2015-02,2,False,
2015,ÑIRIHUAU,Producción convencional,0.0,2015-02,2,False,
2015,ÑIRIHUAU,Shale gas,0.0,2015-02,2,False,
2015,ÑIRIHUAU,Tight gas,0.0,2015-02,2,False,
2015,NORESTE,Producción convencional,0.0,2015-02,2,False,
2015,NORESTE,Shale gas,0.0,2015-02,2,False,
2015,NORESTE,Tight gas,0.0,2015-02,2,False,
2015,NOROESTE,Producción convencional,219209.736,2015-02,2,False,
2015,NOROESTE,Shale gas,0.0,2015-02,2,False,
2015,NOROESTE,Tight gas,0.0,2015-02,2,False,
2015,AUSTRAL,Producción convencional,815176.54,2015-03,3,False,
2015,AUSTRAL,Shale gas,0.0,2015-03,3,False,
2015,AUSTRAL,Tight gas,3404.593,2015-03,3,False,
2015,CAÑADON ASFALTO,Producción convencional,0.0,2015-03,3,False,
2015,CAÑADON ASFALTO,Shale gas,0.0,2015-03,3,False,
2015,CAÑADON ASFALTO,Tight gas,0.0,2015-03,3,False,
2015,CUYANA,Producción convencional,4635.79853075,2015-03,3,False,
2015,CUYANA,Shale gas,0.0,2015-03,3,False,
2015,CUYANA,Tight gas,0.0,2015-03,3,False,
2015,DEL COLORADO,Producción convencional,0.0,2015-03,3,False,
2015,DEL COLORADO,Shale gas,0.0,2015-03,3,False,
2015,DEL COLORADO,Tight gas,0.0,2015-03,3,False,
2015,GOLFO SAN JORGE,Producción convencional,475544.592944469,2015-03,3,False,
2015,GOLFO SAN JORGE,Shale gas,351.57,2015-03,3,False,
2015,GOLFO SAN JORGE,Tight gas,0.0,2015-03,3,False,
2015,LOS BOLSONES,Producción convencional,0.0,2015-03,3,False,
2015,LOS BOLSONES,Shale gas,0.0,2015-03,3,False,
