anio,empresa,provincia,areayacimiento,idareayacimiento,produccion_petroleo_promedio_dia_m3,cuenca,indice_tiempo,mes,areapermisoconcesion,idareapermisoconcesion,tejas_match,tejas_found_in
2015,MEDANITO S.A.,Rio Negro,LOMA MONTOSA,LMO,0.0,NEUQUINA,2015-01,1,CATRIEL VIEJO,VIE,False,
2015,MEDANITO S.A.,Rio Negro,MOLLE MORADO,MOM,0.0,NEUQUINA,2015-01,1,CATRIEL VIEJO,VIE,False,
2015,MEDANITO S.A.,Neuquén,CUTRAL CO,CUC,1.2087,NEUQUINA,2015-01,1,CUTRAL CO,LCO,False,
2015,MEDANITO S.A.,Neuquén,DOS PICOS,DPI,0.0,NEUQUINA,2015-01,1,DOS PICOS,DPI,False,
2015,MEDANITO S.A.,Neuquén,LA TROPILLA,LATR,0.0,NEUQUINA,2015-01,1,LA TROPILLA - BLOQUE I,LTRO,False,
2015,MEDANITO S.A.,Neuquén,LA TROPILLA,LTR2,0.0,NEUQUINA,2015-01,1,LA TROPILLA - BLOQUE II,LTR2,False,
2015,MEDANITO S.A.,Mendoza,LINDERO DE PIEDRA NORTE,LPNT,0.0,NEUQUINA,2015-01,1,LINDERO DE PIEDRA,LDPA,False,
2015,MEDANITO S.A.,Mendoza,LINDERO DE PIEDRA SUR,LPSR,0.0,NEUQUINA,2015-01,1,LINDERO DE PIEDRA,LDPA,False,
2015,MEDANITO S.A.,Neuquén,LOMA LINDA,LOML,0.0,NEUQUINA,2015-01,1,LOMA LINDA,LOLI,False,
2015,MEDANITO S.A.,Rio Negro,MEDIANERA,MED,63.4035,NEUQUINA,2015-01,1,MEDIANERA,MED,False,
2015,MEDANITO S.A.,Neuquén,PUESTO ROA,PROA,0.0,NEUQUINA,2015-01,1,PUESTO ROA,PROA,False,
2015,MEDANITO S.A.,Rio Negro,TRES NIDOS,TRE,0.0,NEUQUINA,2015-01,1,TRES NIDOS,TRE,False,
2015,NECON S.A.,Salta,AGUA BLANCA,AGB,0.2545,NOROESTE,2015-01,1,AGUA BLANCA (CNO-1),AGB,False,
2015,NECON S.A.,Salta,Peñas Coloradas,PCOL,0.0,NOROESTE,2015-01,1,AGUA BLANCA (CNO-1),AGB,False,
2015,O&G DEVELOPMENTS LTD S.A.,Neuquén,AGUILA MORA,AMOR,87.9355,NEUQUINA,2015-01,1,AGUILA MORA,ALDA,False,
2015,O&G DEVELOPMENTS LTD S.A.,Neuquén,CRUZ DE LORENA,CDLO,29.7097,NEUQUINA,2015-01,1,CRUZ DE LORENA,CDLO,False,
2015,O&G DEVELOPMENTS LTD S.A.,Neuquén,SIERRAS BLANCAS,SIBL,13.8065,NEUQUINA,2015-01,1,SIERRAS BLANCAS,SBLA,False,
2015,OIL M&S S.A.,Santa Cruz,GRAN BAJO ORIENTAL,GRBO,0.0,GOLFO SAN JORGE,2015-01,1,GRAN BAJO ORIENTAL,GRBO,False,
2015,PETROBRAS ARGENTINA S.A.,Santa Cruz,TRES COLINAS ESTE,TSTE,0.0,AUSTRAL,2015-03,3,SANTA CRUZ II - FRACCION B,SC2B,False,
2015,PETROBRAS ARGENTINA S.A.,Neuquén,CAÑADON AGUA SALADA,CASA,0.0,NEUQUINA,2015-03,3,SIERRA CHATA,CHH,False,
2015,YPF S.A.,Neuquén,PASO DE LAS BARDAS,Z272,0.0,NEUQUINA,2015-01,1,PASO DE LAS BARDAS NORTE,PBN,False,
2015,YPF S.A.,Mendoza,PASO DE LAS BARDAS ESTE,Z273,0.0,NEUQUINA,2015-01,1,PASO DE LAS BARDAS NORTE,PBN,False,
2015,YPF S.A.,Mendoza,PASO DE LAS BARDAS NORTE,PBN,5.7694,NEUQUINA,2015-01,1,PASO DE LAS BARDAS NORTE,PBN,False,
2015,YPF S.A.,Neuquén,PASO DE LAS BARDAS NORTE,PBN,0.0,NEUQUINA,2015-01,1,PASO DE LAS BARDAS NORTE,PBN,False,
2015,YPF S.A.,Mendoza,RINCON DEL ALAMO,Z320,0.0,NEUQUINA,2015-01,1,PASO DE LAS BARDAS NORTE,PBN,False,
2015,YPF S.A.,Mendoza,PAYUN OESTE,PYOE,1.0245,NEUQUINA,2015-01,1,PAYUN OESTE,PYOE,False,
2015,YPF S.A.,Santa Cruz,EL CORDON,PTC,166.3984,GOLFO SAN JORGE,2015-01,1,PICO TRUNCADO - EL CORDON,PTC,False,
2015,YPF S.A.,Santa Cruz,EL DESTINO,DES,252.0587,GOLFO SAN JORGE,2015-01,1,PICO TRUNCADO - EL CORDON,PTC,False,
2015,YPF S.A.,Santa Cruz,KOLUEL KAIKE,KOLK,0.0,GOLFO SAN JORGE,2015-01,1,PICO TRUNCADO - EL CORDON,PTC,False,
2015,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,Santa Cruz,OTOTEL AIKE NORTE,OAN,0.0,AUSTRAL,2015-04,4,SANTA CRUZ I - FRACCION C,SCIC,False,
2015,TECPETROL S.A.,Santa Cruz,CERRO MANGRULLO,COMG,0.0,GOLFO SAN JORGE,2015-05,5,CERRO MANGRULLO,CRMG,False,
2015,TECPETROL S.A.,Chubut,EL TORDILLO,ELT,2373.5387,GOLFO SAN JORGE,2015-05,5,EL TORDILLO,ELT,False,
2015,TECPETROL S.A.,Santa Cruz,ESTANCIA LA MARIPOSA,ELM,26.8613,GOLFO SAN JORGE,2015-05,5,ESTANCIA LA MARIPOSA,ELM,False,
2015,TECPETROL S.A.,Neuquén,AGUADA LA PICHANA,AGUP,0.0,NEUQUINA,2015-05,5,FORTIN DE PIEDRA ,FOR,False,
2015,TECPETROL S.A.,Neuquén,FORTIN DE PIEDRA,FOR,0.8504,NEUQUINA,2015-05,5,FORTIN DE PIEDRA ,FOR,False,
2015,TECPETROL S.A.,Neuquén,PASO DE INDIOS,PAIN,0.0,NEUQUINA,2015-05,5,FORTIN DE PIEDRA ,FOR,False,
2015,TECPETROL S.A.,Chubut,LA TAPERA,LTA,14.2754,GOLFO SAN JORGE,2015-05,5,LA TAPERA,TAP,False,
2015,TECPETROL S.A.,Chubut,POZOS SIN YACIMIENTO,PSYA,0.0,GOLFO SAN JORGE,2015-05,5,LA TAPERA,TAP,False,
2015,TECPETROL S.A.,Neuquén,LOMA ANCHA,LOAN,0.0,NEUQUINA,2015-05,5,LOMA ANCHA,LOAN,False,
2015,TECPETROL S.A.,Santa Cruz,LOMITA DE LA COSTA,LDLC,0.0,GOLFO SAN JORGE,2015-05,5,LOMITA DE LA COSTA,LDLC,False,
2015,TECPETROL S.A.,Neuquén,AGUADA ANACLETO,AAN,1.0095,NEUQUINA,2015-05,5,LOS BASTOS,BAS,False,
2015,TECPETROL S.A.,Neuquén,CAÑADON DE LA POLVAREDA,CDLP,1.2808,NEUQUINA,2015-05,5,LOS BASTOS,BAS,False,
2015,TECPETROL S.A.,Neuquén,LAS CHIVAS,LCV,2.4342,NEUQUINA,2015-05,5,LOS BASTOS,BAS,False,
2015,TECPETROL S.A.,Neuquén,LOS BASTOS-LAS COPAS,BAS,9.4715,NEUQUINA,2015-05,5,LOS BASTOS,BAS,False,
2015,TECPETROL S.A.,Neuquén,LOS BASTOS SUR,LBS,108.4391,NEUQUINA,2015-05,5,LOS BASTOS,BAS,False,
2015,YPF S.A.,Chubut,MINA PROCYON,MPYO,0.0,GOLFO SAN JORGE,2015-04,4,MINA PROCYON,MIPR,False,
2015,YPF S.A.,Neuquén,CAMPAMENTO DOS,Z059,21.3123,NEUQUINA,2015-04,4,OCTOGONO,OCT,False,
2015,YPF S.A.,Neuquén,CAMPAMENTO UNO,Z061,286.6363,NEUQUINA,2015-04,4,OCTOGONO,OCT,False,
2015,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,Santa Cruz,PUERTO COYLE,PYLE,0.0,AUSTRAL,2015-07,7,SANTA CRUZ I - FRACCION C,SCIC,False,
2015,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,Santa Cruz,PUESTO BANDERA,PERA,0.0,AUSTRAL,2015-07,7,SANTA CRUZ I - FRACCION C,SCIC,False,
2015,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,Santa Cruz,PUESTO BANDERA SUR,PBUR,0.0,AUSTRAL,2015-07,7,SANTA CRUZ I - FRACCION C,SCIC,False,
