categoria,empresa,piso,aniodelregistro,cuit,idempresa,numero,calle,fecha_data,oficina,cp,mail,telefono,numeroregistro,tejas_match,tejas_found_in
Operadora,ALIANZA PETROLERA ARGENTINA S.A.,8,2008,30600096237.0,16,661,RECONQUISTA,2008-11-28T00:00:00,,1003,,4313-6545,143,False,
Operadora,APCO ARGENTINA INC.,26,2008,30697588309.0,28,498,"AV, LIBERTADOR",2008-11-28T00:00:00,,1001ABR,apco@apco.com.ar,5277-6999,148,False,
No Operadora,BLACK GOLD S.A.,8,2008,30707588272.0,1194,1294,Cerrito,2009-01-19T00:00:00,,C1010AAZ,contacto@cgc.com.ar,(5411) 4837-6200,416,False,
Operadora,CAN AMERICAS (ARGENTINA) ENERGY LTD.,19,2008,30709880892.0,1197,323,San Martín,2009-01-26T00:00:00,,C1004AAG,dan_gish@canamericasenergy.com,4394-4535,417,False,
Operadora,CHAÑARES ENERGÍA S.A.,6°,2008,30594785629.0,129,1309,Av. Cordoba,2008-12-02T00:00:00,B,1055,fredylaz@hotmail.com,011 48120122,180,False,
Operadora,COLHUE HUAPI S.A.,3,2008,33682447899.0,90,259,Florida,2008-11-12T00:00:00,317,1005,info@colhue.com.ar; ,4837-8010,251,False,
Operadora,COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,8,2008,30506733932.0,78,1294,Cerrito ,2008-12-09T00:00:00,-,C1010AAZ,contacto@cgc.com.ar,541148165054,53,False,
Operadora,CROWN POINT ENERGIA S.A.,8,2008,30709346268.0,1097,1061,LUIS MARIA CAMPOS,2008-11-24T00:00:00,,BOI1426,vcanalez@antrimenergy.com.ar,4779-1030,381,False,
Operadora,ENAP SIPETROL ARGENTINA S.A.,1,2008,30693209273.0,363,1,Tucuman,2008-11-21T00:00:00,,C1049AAA,,48752600,273,False,
Operadora,GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),19,2008,30642555274.0,1009,323,San Martin,2008-12-02T00:00:00,,1004,,4394-4535,253,False,
No Operadora,HIGH LUCK GROUP LTD. - SUCURSAL ARGENTINA,5,2008,30710837313.0,1211,1210,Maipu,2009-04-14T00:00:00,,C1006ACT,svedoya@brons.com.ar / svidela@brons.com.ar,48912700,419,False,
