procdet,pv,tipo,geojson,procedencia,empresa_informante,tejas_match,tejas_found_in
Yacimiento Mata Magallanes Este,PVMME-001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.9243634678372,-46.0235083919416]}",YACIMIENTO,,False,
BAT ACS-GP,BATANT04-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.7054285655945,-39.0208719177194]}",YACIMIENTO,YSUR ENERGÍA ARGENTINA S.R.L.,False,
Complejo Gas,Complejo Gas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0962599996533,-38.2080099995344]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
Estacion Motocompresora 1,Estacion Motocompresora 1,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0759599995274,-38.2252000005231]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
Yac. Centro Este,PV-1,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.0935655,-37.7367234]}",YACIMIENTO,PETROLEOS SUDAMERICANOS S.A.,False,
Bateria BAT-RN.X-1004,FQ-BAT-RN.X-1004,FOSA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.4577440382568,-38.2169969624397]}",PLANTA COMPRESORA,AMERICAS PETROGAS ARGENTINA S.A.,False,
Inst. de ProducciÃ³n Temprana Bajo del Choique,Antorcha EPF BdC,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.141583,-37.713236]}",YACIMIENTO,EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,False,
Estación Compresora Lomita de la Costa,Venteo de Lomita de la Costa,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-67.632226,-46.252748]}",YACIMIENTO,TECPETROL S.A.,False,
Estacion Motocompresora 2,Estacion Motocompresora 2,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1130099994569,-38.1959899999609]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
Estacion Motocompresora 3,Estacion Motocompresora 3,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.1552700007554,-38.1557500006266]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
Estacion Motocompresora 4,Estacion Motocompresora 4,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2044199996301,-38.1248500002149]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
BAT BZ,BATANT06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-69.8070414554632,-38.9826696355759]}",YACIMIENTO,YSUR ENERGÍA ARGENTINA S.R.L.,False,
Bateria 2 Piedras Blancas,Bateria 2 Piedras Blancas,CHIMENEA DE QUEMA,"{""type"":""Point"",""coordinates"":[-68.2031000004889,-38.1285200006321]}",YACIMIENTO,PETROLERA ENTRE LOMAS S.A.,False,
